NCT,PMID,arm_category,Authors,Year
NCT02425891,30345906,2-arm,Schmid P et al,2018
NCT02425891,30345906,2-arm,Schmid P et al,2019
NCT02685059,31095287,2-arm,Loibl S et al,2019
NCT01042379,32053137,2-arm,Nanda R et al,2019
NCT02425891,31786121,2-arm,Schmid P et al,2018
NCT02425891,31786121,2-arm,Schmid P et al,2019
NCT03036488,32101663,2-arm,Schmid P et al,2020
NCT03051659,32880602,2-arm,Tolaney SM et al,2020
NCT02819518,33278935,2-arm,Cortes J et al,2020
NCT03197935,32966830,2-arm,Mittendorf EA et al,2020
NCT02924883,33002436,2-arm,Emens LA et al,2020
NCT02299999,33462450,2-arm,Bachelot T et al,2021
NCT02555657,33676601,2-arm,Winer PE et al,2021
