NCT,PMID,other_agents,Authors,Year
NCT02685059,31095287,Nab-paclitaxel+epirubicin+cyclophosphamide,Loibl S et al,2019
NCT02454933,30763730,Osimertinib,Yang JCH et al,2019
NCT03043872,31590988,Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,31590988,Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,31590988,Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,31590988,Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT03043872,31590988,Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,31590988,Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,31590988,Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,31590988,Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT02870920,32379280,Best supportive care,Chen EX et al,2020
NCT03043872,33285097,"Etoposide, Platinum agent",Paz-Ares L et al,2019
NCT03043872,33285097,"Etoposide, Platinum agent",Paz-Ares L et al (1),2019
NCT03043872,33285097,"Etoposide, Platinum agent",Goldman JW et al,2020
NCT03043872,33285097,"Etoposide, Platinum agent",Goldman JW et al (1),2020
NCT03043872,33285097,Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,33285097,Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,33285097,Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,33285097,Etoposide+Platinum agent,Goldman JW et al (1),2020
