NCT,PMID,pdl1_required,Authors,Year
NCT00527735,22547592,False,Lynch TJ et al,2012
NCT00527735,22547592,False,Lynch TJ et al (1),2012
NCT00527735,22547592,False,Reck M et al,2012
NCT00527735,22547592,False,Reck M et al (1),2012
NCT00527735,22547592,False,Lynch TJ et al,2012
NCT00527735,22547592,False,Lynch TJ et al (1),2012
NCT00527735,22547592,False,Reck M et al,2012
NCT00527735,22547592,False,Reck M et al (1),2012
NCT01673867,26412456,False,Borghaei  H et al,2015
NCT01642004,26028407,False,Brahmer J et al,2015
NCT01905657,26712084,True,Herbst RS et al,2016
NCT01905657,26712084,True,Herbst RS et al (1),2016
NCT01905657,26712084,True,Herbst RS et al,2016
NCT01905657,26712084,True,Herbst RS et al (1),2016
NCT01903993,26970723,True,Fehrenbacher L et al,2016
NCT01903993,26970723,True,Mazieres J et al,2020
NCT02041533,28636851,True,Carbone DP et al,2017
NCT01285609,28854067,False,Govindan R et al,2017
NCT02125461,28885881,False,Antonia SJ et al,2017
NCT02125461,28885881,False,Antonia SJ et al,2018
NCT02125461,30280658,False,Antonia SJ et al,2017
NCT02125461,30280658,False,Antonia SJ et al,2018
NCT02395172,30262187,False,Barlesi F et al,2018
NCT02039674,27745820,True,Langer JC et al,2016
NCT02039674,27745820,True,Borghaei  H et al,2018
NCT02039674,30138764,True,Langer JC et al,2016
NCT02039674,30138764,True,Borghaei  H et al,2018
NCT02008227,27979383,False,Rittmeyer A et al,2017
NCT02008227,27979383,False,Fehrenbacher L et al,2018
NCT02008227,27979383,False,Mazieres J et al,2020
NCT02008227,29777823,False,Rittmeyer A et al,2017
NCT02008227,29777823,False,Fehrenbacher L et al,2018
NCT02008227,29777823,False,Mazieres J et al,2020
NCT02578680,29658856,False,Gandhi L et al,2018
NCT02775435,30280635,False,Paz-Ares L et al,2018
NCT02366143,29863955,False,Socinski MA et al,2018
NCT02366143,29863955,False,Socinski MA et al (1),2018
NCT02366143,29863955,False,Socinski MA et al,2018
NCT02366143,29863955,False,Socinski MA et al (1),2018
NCT02477826,29658845,False,Hellmann MD et al,2018
NCT02477826,29658845,False,Hellmann MD et al (1),2018
NCT02477826,29658845,False,Hellmann MD et al,2019
NCT02477826,29658845,False,Hellmann MD et al (1),2019
NCT02477826,29658845,False,Hellmann MD et al (2),2019
NCT02477826,29658845,False,Hellmann MD et al,2018
NCT02477826,29658845,False,Hellmann MD et al (1),2018
NCT02477826,29658845,False,Hellmann MD et al,2019
NCT02477826,29658845,False,Hellmann MD et al (1),2019
NCT02477826,29658845,False,Hellmann MD et al (2),2019
NCT02477826,31562796,False,Hellmann MD et al,2018
NCT02477826,31562796,False,Hellmann MD et al (1),2018
NCT02477826,31562796,False,Hellmann MD et al,2019
NCT02477826,31562796,False,Hellmann MD et al (1),2019
NCT02477826,31562796,False,Hellmann MD et al (2),2019
NCT02477826,31562796,False,Hellmann MD et al,2018
NCT02477826,31562796,False,Hellmann MD et al (1),2018
NCT02477826,31562796,False,Hellmann MD et al,2019
NCT02477826,31562796,False,Hellmann MD et al (1),2019
NCT02477826,31562796,False,Hellmann MD et al (2),2019
NCT02477826,31562796,False,Hellmann MD et al,2018
NCT02477826,31562796,False,Hellmann MD et al (1),2018
NCT02477826,31562796,False,Hellmann MD et al,2019
NCT02477826,31562796,False,Hellmann MD et al (1),2019
NCT02477826,31562796,False,Hellmann MD et al (2),2019
NCT02220894,30955977,True,Mok TSK et al,2019
NCT02142738,30620668,True,Reck M et al,2019
NCT02142738,30620668,True,Reck M et al,2016
NCT02367781,31122901,False,West H et al,2019
NCT02613507,30659987,False,Wu YL et al,2019
NCT02454933,30763730,False,Yang JCH et al,2019
NCT02352948,32201234,False,Planchard D et al,2020
NCT02352948,32201234,False,Planchard D et al (1),2020
NCT02352948,32201234,False,Planchard D et al (2),2020
NCT02352948,32201234,False,Planchard D et al,2020
NCT02352948,32201234,False,Planchard D et al (1),2020
NCT02352948,32201234,False,Planchard D et al (2),2020
NCT02352948,32201234,False,Planchard D et al,2020
NCT02352948,32201234,False,Planchard D et al (1),2020
NCT02352948,32201234,False,Planchard D et al (2),2020
NCT02453282,32271377,False,Rizvi NA et al,2020
NCT02453282,32271377,False,Rizvi NA et al (1),2020
NCT02453282,32271377,False,Rizvi NA et al,2020
NCT02453282,32271377,False,Rizvi NA et al (1),2020
NCT02367794,32302702,False,Jotte R et al,2020
NCT02367794,32302702,False,Jotte R et al (1),2020
NCT02367794,32302702,False,Jotte R et al,2020
NCT02367794,32302702,False,Jotte R et al (1),2020
NCT02574598,32271354,False,Arrieta O et al,2020
NCT02142738,27718847,True,Reck M et al,2019
NCT02142738,27718847,True,Reck M et al,2016
NCT02409342,32997907,True,Herbst RS et al.,2020
NCT01903993,33166718,False,Fehrenbacher L et al,2016
NCT01903993,33166718,False,Mazieres J et al,2020
NCT02008227,33166718,False,Rittmeyer A et al,2017
NCT02008227,33166718,False,Fehrenbacher L et al,2018
NCT02008227,33166718,False,Mazieres J et al,2020
NCT03215706,33476593,False,Paz-Ares L et al,2021
NCT03088540,33581821,True,Sezer A et al,2021
NCT02852083,33796020,False,Heudobler D et al,2021
