NCT,PMID,follow_up_category,Authors,Year
NCT00527735,22547592,unknown,Lynch TJ et al,2012
NCT00527735,22547592,unknown,Lynch TJ et al (1),2012
NCT00527735,22547592,unknown,Reck M et al,2012
NCT00527735,22547592,unknown,Reck M et al (1),2012
NCT00527735,22547592,unknown,Lynch TJ et al,2012
NCT00527735,22547592,unknown,Lynch TJ et al (1),2012
NCT00527735,22547592,unknown,Reck M et al,2012
NCT00527735,22547592,unknown,Reck M et al (1),2012
NCT00527735,22858559,<12,Lynch TJ et al,2012
NCT00527735,22858559,<12,Lynch TJ et al (1),2012
NCT00527735,22858559,<12,Reck M et al,2012
NCT00527735,22858559,<12,Reck M et al (1),2012
NCT00527735,22858559,<12,Lynch TJ et al,2012
NCT00527735,22858559,<12,Lynch TJ et al (1),2012
NCT00527735,22858559,<12,Reck M et al,2012
NCT00527735,22858559,<12,Reck M et al (1),2012
NCT01673867,26412456,unknown,Borghaei  H et al,2015
NCT01642004,26028407,unknown,Brahmer J et al,2015
NCT01905657,26712084,unknown,Herbst RS et al,2016
NCT01905657,26712084,unknown,Herbst RS et al (1),2016
NCT01905657,26712084,unknown,Herbst RS et al,2016
NCT01905657,26712084,unknown,Herbst RS et al (1),2016
NCT01903993,26970723,unknown,Fehrenbacher L et al,2016
NCT01903993,26970723,unknown,Mazieres J et al,2020
NCT01450761,27458307,unknown,Reck M et al,2016
NCT02041533,28636851,12-23,Carbone DP et al,2017
NCT01285609,28854067,unknown,Govindan R et al,2017
NCT02125461,28885881,12-23,Antonia SJ et al,2017
NCT02125461,28885881,12-23,Antonia SJ et al,2018
NCT02125461,30280658,>=24,Antonia SJ et al,2017
NCT02125461,30280658,>=24,Antonia SJ et al,2018
NCT02395172,30262187,12-23,Barlesi F et al,2018
NCT02039674,27745820,<12,Langer JC et al,2016
NCT02039674,27745820,<12,Borghaei  H et al,2018
NCT02039674,30138764,12-23,Langer JC et al,2016
NCT02039674,30138764,12-23,Borghaei  H et al,2018
NCT02008227,27979383,12-23,Rittmeyer A et al,2017
NCT02008227,27979383,12-23,Fehrenbacher L et al,2018
NCT02008227,27979383,12-23,Mazieres J et al,2020
NCT02008227,29777823,>=24,Rittmeyer A et al,2017
NCT02008227,29777823,>=24,Fehrenbacher L et al,2018
NCT02008227,29777823,>=24,Mazieres J et al,2020
NCT02578680,29658856,<12,Gandhi L et al,2018
NCT02763579,30280641,12-23,Horn L et al,2018
NCT02763579,30280641,12-23,Mansfield AS et al,2020
NCT02775435,30280635,<12,Paz-Ares L et al,2018
NCT02366143,29863955,unknown,Socinski MA et al,2018
NCT02366143,29863955,unknown,Socinski MA et al (1),2018
NCT02366143,29863955,unknown,Socinski MA et al,2018
NCT02366143,29863955,unknown,Socinski MA et al (1),2018
NCT02477826,29658845,<12,Hellmann MD et al,2018
NCT02477826,29658845,<12,Hellmann MD et al (1),2018
NCT02477826,29658845,<12,Hellmann MD et al,2019
NCT02477826,29658845,<12,Hellmann MD et al (1),2019
NCT02477826,29658845,<12,Hellmann MD et al (2),2019
NCT02477826,29658845,<12,Hellmann MD et al,2018
NCT02477826,29658845,<12,Hellmann MD et al (1),2018
NCT02477826,29658845,<12,Hellmann MD et al,2019
NCT02477826,29658845,<12,Hellmann MD et al (1),2019
NCT02477826,29658845,<12,Hellmann MD et al (2),2019
NCT02477826,31562796,>=24,Hellmann MD et al,2018
NCT02477826,31562796,>=24,Hellmann MD et al (1),2018
NCT02477826,31562796,>=24,Hellmann MD et al,2019
NCT02477826,31562796,>=24,Hellmann MD et al (1),2019
NCT02477826,31562796,>=24,Hellmann MD et al (2),2019
NCT02477826,31562796,>=24,Hellmann MD et al,2018
NCT02477826,31562796,>=24,Hellmann MD et al (1),2018
NCT02477826,31562796,>=24,Hellmann MD et al,2019
NCT02477826,31562796,>=24,Hellmann MD et al (1),2019
NCT02477826,31562796,>=24,Hellmann MD et al (2),2019
NCT02477826,31562796,>=24,Hellmann MD et al,2018
NCT02477826,31562796,>=24,Hellmann MD et al (1),2018
NCT02477826,31562796,>=24,Hellmann MD et al,2019
NCT02477826,31562796,>=24,Hellmann MD et al (1),2019
NCT02477826,31562796,>=24,Hellmann MD et al (2),2019
NCT02220894,30955977,12-23,Mok TSK et al,2019
NCT03059667,30664989,12-23,Pujol JL et al,2019
NCT02142738,30620668,>=24,Reck M et al,2019
NCT02142738,30620668,>=24,Reck M et al,2016
NCT02367781,31122901,unknown,West H et al,2019
NCT02613507,30659987,<12,Wu YL et al,2019
NCT02454933,30763730,unknown,Yang JCH et al,2019
NCT03043872,31590988,12-23,Paz-Ares L et al,2019
NCT03043872,31590988,12-23,Paz-Ares L et al (1),2019
NCT03043872,31590988,12-23,Goldman JW et al,2020
NCT03043872,31590988,12-23,Goldman JW et al (1),2020
NCT03043872,31590988,12-23,Paz-Ares L et al,2019
NCT03043872,31590988,12-23,Paz-Ares L et al (1),2019
NCT03043872,31590988,12-23,Goldman JW et al,2020
NCT03043872,31590988,12-23,Goldman JW et al (1),2020
NCT02763579,31959349,unknown,Horn L et al,2018
NCT02763579,31959349,unknown,Mansfield AS et al,2020
NCT02352948,32201234,<12,Planchard D et al,2020
NCT02352948,32201234,<12,Planchard D et al (1),2020
NCT02352948,32201234,<12,Planchard D et al (2),2020
NCT02352948,32201234,<12,Planchard D et al,2020
NCT02352948,32201234,<12,Planchard D et al (1),2020
NCT02352948,32201234,<12,Planchard D et al (2),2020
NCT02352948,32201234,<12,Planchard D et al,2020
NCT02352948,32201234,<12,Planchard D et al (1),2020
NCT02352948,32201234,<12,Planchard D et al (2),2020
NCT03066778,32468956,unknown,Rudin CM et al,2020
NCT02453282,32271377,unknown,Rizvi NA et al,2020
NCT02453282,32271377,unknown,Rizvi NA et al (1),2020
NCT02453282,32271377,unknown,Rizvi NA et al,2020
NCT02453282,32271377,unknown,Rizvi NA et al (1),2020
NCT02367794,32302702,unknown,Jotte R et al,2020
NCT02367794,32302702,unknown,Jotte R et al (1),2020
NCT02367794,32302702,unknown,Jotte R et al,2020
NCT02367794,32302702,unknown,Jotte R et al (1),2020
NCT02574598,32271354,unknown,Arrieta O et al,2020
NCT02142738,27718847,unknown,Reck M et al,2019
NCT02142738,27718847,unknown,Reck M et al,2016
NCT02409342,32997907,12-23,Herbst RS et al.,2020
NCT03043872,33285097,>=24,Paz-Ares L et al,2019
NCT03043872,33285097,>=24,Paz-Ares L et al (1),2019
NCT03043872,33285097,>=24,Goldman JW et al,2020
NCT03043872,33285097,>=24,Goldman JW et al (1),2020
NCT03043872,33285097,>=24,Paz-Ares L et al,2019
NCT03043872,33285097,>=24,Paz-Ares L et al (1),2019
NCT03043872,33285097,>=24,Goldman JW et al,2020
NCT03043872,33285097,>=24,Goldman JW et al (1),2020
NCT01903993,33166718,>=24,Fehrenbacher L et al,2016
NCT01903993,33166718,>=24,Mazieres J et al,2020
NCT02008227,33166718,>=24,Rittmeyer A et al,2017
NCT02008227,33166718,>=24,Fehrenbacher L et al,2018
NCT02008227,33166718,>=24,Mazieres J et al,2020
NCT03215706,33476593,12-23,Paz-Ares L et al,2021
NCT02481830,33539946,12-23,Spigel DR et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT03088540,33581821,unknown,Sezer A et al,2021
NCT02852083,33796020,<12,Heudobler D et al,2021
