NCT,PMID,primary_endpoint_type,Authors,Year
NCT01668784,26406148,OS,Motzer RJ et al,2015
NCT01668784,26406148,OS,Motzer RJ et al,2020
NCT02231749,29562145,Other,Motzer RJ et al,2018
NCT02231749,29562145,Other,Motzer RJ et al,2019
NCT02231749,29562145,Other,Motzer RJ et al,2020
NCT02231749,31427204,Other,Motzer RJ et al,2018
NCT02231749,31427204,Other,Motzer RJ et al,2019
NCT02231749,31427204,Other,Motzer RJ et al,2020
NCT02684006,30779531,Other,Motzer RJ et al,2019
NCT02684006,30779531,Other,Choueiri TK et al,2020
NCT02853331,30779529,Other,Rini BI et al,2019
NCT02853331,30779529,Other,Powles T et al. ,2020
NCT02420821,31079938,Other,Rini BI et al,2019
NCT02231749,32661118,Other,Motzer RJ et al,2018
NCT02231749,32661118,Other,Motzer RJ et al,2019
NCT02231749,32661118,Other,Motzer RJ et al,2020
NCT01668784,32673417,OS,Motzer RJ et al,2015
NCT01668784,32673417,OS,Motzer RJ et al,2020
NCT02684006,32339648,Other,Motzer RJ et al,2019
NCT02684006,32339648,Other,Choueiri TK et al,2020
NCT02853331,33284113,Other,Rini BI et al,2019
NCT02853331,33284113,Other,Powles T et al. ,2020
NCT02811861,33616314,PFS,Motzer R et al,2021
NCT03141177,33657295,PFS,Choueiri TK et al,2021
