NCT,PMID,primary_endpoint,secondary_endpoint,Authors,Year
NCT00324155,21639810,yes,yes,Robert C et al,2011
NCT00094653,20525992,yes,yes,Hodi FS et al,2010
NCT00094653,20525992,yes,yes,Hodi FS et al (1),2010
NCT00094653,20525992,yes,yes,McDermott D et al,2013
NCT00094653,20525992,yes,yes,McDermott D et al (1),2013
NCT00094653,20525992,yes,yes,Hodi FS et al,2010
NCT00094653,20525992,yes,yes,Hodi FS et al (1),2010
NCT00094653,20525992,yes,yes,McDermott D et al,2013
NCT00094653,20525992,yes,yes,McDermott D et al (1),2013
NCT00257205,23295794,yes,yes,Ribas A et al,2013
NCT02362594,29658430,yes,yes,Eggermont AMM et al,2018
NCT02362594,29658430,yes,yes,Eggermont AMM et al,2020
NCT01704287,26115796,yes,yes,Ribas A et al,2015
NCT01704287,26115796,yes,yes,Ribas A et al (1),2015
NCT01704287,26115796,yes,yes,Hamid O et al,2017
NCT01704287,26115796,yes,yes,Hamid O et al (1),2017
NCT01704287,26115796,yes,yes,Ribas A et al,2015
NCT01704287,26115796,yes,yes,Ribas A et al (1),2015
NCT01704287,26115796,yes,yes,Hamid O et al,2017
NCT01704287,26115796,yes,yes,Hamid O et al (1),2017
NCT01704287,28961465,yes,yes,Ribas A et al,2015
NCT01704287,28961465,yes,yes,Ribas A et al (1),2015
NCT01704287,28961465,yes,yes,Hamid O et al,2017
NCT01704287,28961465,yes,yes,Hamid O et al (1),2017
NCT01704287,28961465,yes,yes,Ribas A et al,2015
NCT01704287,28961465,yes,yes,Ribas A et al (1),2015
NCT01704287,28961465,yes,yes,Hamid O et al,2017
NCT01704287,28961465,yes,yes,Hamid O et al (1),2017
NCT00636168,27717298,yes,yes,Eggermont AMM et al,2016
NCT00636168,27717298,yes,yes,Eggermont AMM et al,2015
NCT01721746,25795410,yes,yes,Weber JS et al,2015
NCT01721746,25795410,yes,yes,Larkin J et al,2018
NCT01721746,28671856,yes,yes,Weber JS et al,2015
NCT01721746,28671856,yes,yes,Larkin J et al,2018
NCT02130466,31171878,yes,yes,Ascierto PA et al,2019
NCT02130466,31171878,yes,yes,Ferrucci PF et al,2020
NCT01721772,25399552,yes,yes,Robert C et al,2015
NCT01721772,25399552,yes,yes,Ascierto PA et al,2019
NCT01721772,25399552,yes,yes,Robert C et al,2020
NCT01721772,30422243,yes,yes,Robert C et al,2015
NCT01721772,30422243,yes,yes,Ascierto PA et al,2019
NCT01721772,30422243,yes,yes,Robert C et al,2020
NCT01274338,31880964,yes,yes,Tarhini AA et al,2020
NCT01274338,31880964,yes,yes,Tarhini AA et al (1),2020
NCT01274338,31880964,yes,yes,Tarhini AA et al,2020
NCT01274338,31880964,yes,yes,Tarhini AA et al (1),2020
NCT02523313,32416781,yes,yes,Zimmer L et al,2020
NCT02523313,32416781,yes,yes,Zimmer L et al (1),2020
NCT02523313,32416781,yes,yes,Zimmer L et al,2020
NCT02523313,32416781,yes,yes,Zimmer L et al (1),2020
NCT02908672,32534646,yes,yes,Gutzmer R et al,2020
NCT00094653,23942774,yes,yes,Hodi FS et al,2010
NCT00094653,23942774,yes,yes,Hodi FS et al (1),2010
NCT00094653,23942774,yes,yes,McDermott D et al,2013
NCT00094653,23942774,yes,yes,McDermott D et al (1),2013
NCT00094653,23942774,yes,yes,Hodi FS et al,2010
NCT00094653,23942774,yes,yes,Hodi FS et al (1),2010
NCT00094653,23942774,yes,yes,McDermott D et al,2013
NCT00094653,23942774,yes,yes,McDermott D et al (1),2013
NCT01721772,32997575,yes,yes,Robert C et al,2015
NCT01721772,32997575,yes,yes,Ascierto PA et al,2019
NCT01721772,32997575,yes,yes,Robert C et al,2020
NCT02130466,33361337,yes,yes,Ascierto PA et al,2019
NCT02130466,33361337,yes,yes,Ferrucci PF et al,2020
NCT02362594,32946353,yes,no,Eggermont AMM et al,2018
NCT02362594,32946353,yes,no,Eggermont AMM et al,2020
NCT00636168,25840693,yes,yes,Eggermont AMM et al,2016
NCT00636168,25840693,yes,yes,Eggermont AMM et al,2015
