NCT,PMID,control_arm_type,Authors,Year
NCT01673867,26412456,active,Borghaei  H et al,2015
NCT01642004,26028407,active,Brahmer J et al,2015
NCT01450761,27458307,active,Reck M et al,2016
NCT02041533,28636851,active,Carbone DP et al,2017
NCT01285609,28854067,active,Govindan R et al,2017
NCT02125461,28885881,placebo,Antonia SJ et al,2017
NCT02125461,28885881,placebo,Antonia SJ et al,2018
NCT02125461,30280658,placebo,Antonia SJ et al,2017
NCT02125461,30280658,placebo,Antonia SJ et al,2018
NCT02395172,30262187,active,Barlesi F et al,2018
NCT02008227,27979383,active,Rittmeyer A et al,2017
NCT02008227,27979383,active,Fehrenbacher L et al,2018
NCT02008227,27979383,active,Mazieres J et al,2020
NCT02008227,29777823,active,Rittmeyer A et al,2017
NCT02008227,29777823,active,Fehrenbacher L et al,2018
NCT02008227,29777823,active,Mazieres J et al,2020
NCT02578680,29658856,active,Gandhi L et al,2018
NCT02763579,30280641,placebo,Horn L et al,2018
NCT02763579,30280641,placebo,Mansfield AS et al,2020
NCT02775435,30280635,active,Paz-Ares L et al,2018
NCT02366143,29863955,active,Socinski MA et al,2018
NCT02366143,29863955,active,Socinski MA et al (1),2018
NCT02366143,29863955,active,Socinski MA et al,2018
NCT02366143,29863955,active,Socinski MA et al (1),2018
NCT02477826,29658845,active,Hellmann MD et al,2018
NCT02477826,29658845,active,Hellmann MD et al (1),2018
NCT02477826,29658845,active,Hellmann MD et al,2019
NCT02477826,29658845,active,Hellmann MD et al (1),2019
NCT02477826,29658845,active,Hellmann MD et al (2),2019
NCT02477826,29658845,active,Hellmann MD et al,2018
NCT02477826,29658845,active,Hellmann MD et al (1),2018
NCT02477826,29658845,active,Hellmann MD et al,2019
NCT02477826,29658845,active,Hellmann MD et al (1),2019
NCT02477826,29658845,active,Hellmann MD et al (2),2019
NCT02477826,31562796,active,Hellmann MD et al,2018
NCT02477826,31562796,active,Hellmann MD et al (1),2018
NCT02477826,31562796,active,Hellmann MD et al,2019
NCT02477826,31562796,active,Hellmann MD et al (1),2019
NCT02477826,31562796,active,Hellmann MD et al (2),2019
NCT02477826,31562796,active,Hellmann MD et al,2018
NCT02477826,31562796,active,Hellmann MD et al (1),2018
NCT02477826,31562796,active,Hellmann MD et al,2019
NCT02477826,31562796,active,Hellmann MD et al (1),2019
NCT02477826,31562796,active,Hellmann MD et al (2),2019
NCT02477826,31562796,active,Hellmann MD et al,2018
NCT02477826,31562796,active,Hellmann MD et al (1),2018
NCT02477826,31562796,active,Hellmann MD et al,2019
NCT02477826,31562796,active,Hellmann MD et al (1),2019
NCT02477826,31562796,active,Hellmann MD et al (2),2019
NCT02220894,30955977,active,Mok TSK et al,2019
NCT02142738,30620668,active,Reck M et al,2019
NCT02142738,30620668,active,Reck M et al,2016
NCT02367781,31122901,active,West H et al,2019
NCT02613507,30659987,active,Wu YL et al,2019
NCT02454933,30763730,active,Yang JCH et al,2019
NCT03043872,31590988,active,Paz-Ares L et al,2019
NCT03043872,31590988,active,Paz-Ares L et al (1),2019
NCT03043872,31590988,active,Goldman JW et al,2020
NCT03043872,31590988,active,Goldman JW et al (1),2020
NCT03043872,31590988,active,Paz-Ares L et al,2019
NCT03043872,31590988,active,Paz-Ares L et al (1),2019
NCT03043872,31590988,active,Goldman JW et al,2020
NCT03043872,31590988,active,Goldman JW et al (1),2020
NCT02763579,31959349,active,Horn L et al,2018
NCT02763579,31959349,active,Mansfield AS et al,2020
NCT02352948,32201234,active,Planchard D et al,2020
NCT02352948,32201234,active,Planchard D et al (1),2020
NCT02352948,32201234,active,Planchard D et al (2),2020
NCT02352948,32201234,active,Planchard D et al,2020
NCT02352948,32201234,active,Planchard D et al (1),2020
NCT02352948,32201234,active,Planchard D et al (2),2020
NCT02352948,32201234,active,Planchard D et al,2020
NCT02352948,32201234,active,Planchard D et al (1),2020
NCT02352948,32201234,active,Planchard D et al (2),2020
NCT03066778,32468956,active,Rudin CM et al,2020
NCT02453282,32271377,active,Rizvi NA et al,2020
NCT02453282,32271377,active,Rizvi NA et al (1),2020
NCT02453282,32271377,active,Rizvi NA et al,2020
NCT02453282,32271377,active,Rizvi NA et al (1),2020
NCT02367794,32302702,active,Jotte R et al,2020
NCT02367794,32302702,active,Jotte R et al (1),2020
NCT02367794,32302702,active,Jotte R et al,2020
NCT02367794,32302702,active,Jotte R et al (1),2020
NCT02142738,27718847,active,Reck M et al,2019
NCT02142738,27718847,active,Reck M et al,2016
NCT02409342,32997907,active,Herbst RS et al.,2020
NCT03043872,33285097,active,Paz-Ares L et al,2019
NCT03043872,33285097,active,Paz-Ares L et al (1),2019
NCT03043872,33285097,active,Goldman JW et al,2020
NCT03043872,33285097,active,Goldman JW et al (1),2020
NCT03043872,33285097,active,Paz-Ares L et al,2019
NCT03043872,33285097,active,Paz-Ares L et al (1),2019
NCT03043872,33285097,active,Goldman JW et al,2020
NCT03043872,33285097,active,Goldman JW et al (1),2020
NCT02008227,33166718,active,Rittmeyer A et al,2017
NCT02008227,33166718,active,Fehrenbacher L et al,2018
NCT02008227,33166718,active,Mazieres J et al,2020
NCT03215706,33476593,active,Paz-Ares L et al,2021
NCT02481830,33539946,active,Spigel DR et al,2021
NCT02538666,33683919,placebo,Owonikoko TK et al,2021
NCT02538666,33683919,placebo,Owonikoko TK et al,2021
NCT02538666,33683919,placebo,Owonikoko TK et al,2021
NCT02538666,33683919,placebo,Owonikoko TK et al,2021
NCT03088540,33581821,active,Sezer A et al,2021
