NCT,PMID,endpoint,endpoint_type,Authors,Year
NCT00324155,21639810,OS,primary,Robert C et al,2011
NCT00094653,20525992,OS,both,Hodi FS et al,2010
NCT00094653,20525992,OS,both,Hodi FS et al (1),2010
NCT00094653,20525992,OS,both,McDermott D et al,2013
NCT00094653,20525992,OS,both,McDermott D et al (1),2013
NCT00094653,20525992,OS,primary,Hodi FS et al,2010
NCT00094653,20525992,OS,primary,Hodi FS et al (1),2010
NCT00094653,20525992,OS,primary,McDermott D et al,2013
NCT00094653,20525992,OS,primary,McDermott D et al (1),2013
NCT00257205,23295794,OS,primary,Ribas A et al,2013
NCT02362594,29658430,PFS,primary,Eggermont AMM et al,2018
NCT02362594,29658430,PFS,primary,Eggermont AMM et al,2020
NCT01704287,26115796,OS+PFS,primary,Ribas A et al,2015
NCT01704287,26115796,OS+PFS,primary,Ribas A et al (1),2015
NCT01704287,26115796,OS+PFS,primary,Hamid O et al,2017
NCT01704287,26115796,OS+PFS,primary,Hamid O et al (1),2017
NCT01704287,26115796,OS+PFS,primary,Ribas A et al,2015
NCT01704287,26115796,OS+PFS,primary,Ribas A et al (1),2015
NCT01704287,26115796,OS+PFS,primary,Hamid O et al,2017
NCT01704287,26115796,OS+PFS,primary,Hamid O et al (1),2017
NCT01704287,28961465,OS+PFS,primary,Ribas A et al,2015
NCT01704287,28961465,OS+PFS,primary,Ribas A et al (1),2015
NCT01704287,28961465,OS+PFS,primary,Hamid O et al,2017
NCT01704287,28961465,OS+PFS,primary,Hamid O et al (1),2017
NCT01704287,28961465,OS+PFS,primary,Ribas A et al,2015
NCT01704287,28961465,OS+PFS,primary,Ribas A et al (1),2015
NCT01704287,28961465,OS+PFS,primary,Hamid O et al,2017
NCT01704287,28961465,OS+PFS,primary,Hamid O et al (1),2017
NCT00636168,27717298,PFS,primary,Eggermont AMM et al,2016
NCT00636168,27717298,PFS,primary,Eggermont AMM et al,2015
NCT01721746,25795410,OS+ORR,primary,Weber JS et al,2015
NCT01721746,25795410,OS+ORR,primary,Larkin J et al,2018
NCT01721746,28671856,OS+ORR,primary,Weber JS et al,2015
NCT01721746,28671856,OS+ORR,primary,Larkin J et al,2018
NCT02130466,31171878,PFS,primary,Ascierto PA et al,2019
NCT02130466,31171878,PFS,primary,Ferrucci PF et al,2020
NCT01721772,25399552,OS,both,Robert C et al,2015
NCT01721772,25399552,OS,both,Ascierto PA et al,2019
NCT01721772,25399552,OS,both,Robert C et al,2020
NCT01721772,30422243,OS,primary,Robert C et al,2015
NCT01721772,30422243,OS,primary,Ascierto PA et al,2019
NCT01721772,30422243,OS,primary,Robert C et al,2020
NCT01274338,31880964,OS+RFS,primary,Tarhini AA et al,2020
NCT01274338,31880964,OS+RFS,primary,Tarhini AA et al (1),2020
NCT01274338,31880964,OS+RFS,primary,Tarhini AA et al,2020
NCT01274338,31880964,OS+RFS,primary,Tarhini AA et al (1),2020
NCT02523313,32416781,RFS,both,Zimmer L et al,2020
NCT02523313,32416781,RFS,both,Zimmer L et al (1),2020
NCT02523313,32416781,RFS,both,Zimmer L et al,2020
NCT02523313,32416781,RFS,both,Zimmer L et al (1),2020
NCT02908672,32534646,PFS,both,Gutzmer R et al,2020
NCT00094653,23942774,OS,primary,Hodi FS et al,2010
NCT00094653,23942774,OS,primary,Hodi FS et al (1),2010
NCT00094653,23942774,OS,primary,McDermott D et al,2013
NCT00094653,23942774,OS,primary,McDermott D et al (1),2013
NCT00094653,23942774,OS,primary,Hodi FS et al,2010
NCT00094653,23942774,OS,primary,Hodi FS et al (1),2010
NCT00094653,23942774,OS,primary,McDermott D et al,2013
NCT00094653,23942774,OS,primary,McDermott D et al (1),2013
NCT01721772,32997575,OS,primary,Robert C et al,2015
NCT01721772,32997575,OS,primary,Ascierto PA et al,2019
NCT01721772,32997575,OS,primary,Robert C et al,2020
NCT02130466,33361337,PFS,primary,Ascierto PA et al,2019
NCT02130466,33361337,PFS,primary,Ferrucci PF et al,2020
NCT02362594,32946353,RFS,primary,Eggermont AMM et al,2018
NCT02362594,32946353,RFS,primary,Eggermont AMM et al,2020
NCT00636168,25840693,PFS,primary,Eggermont AMM et al,2016
NCT00636168,25840693,PFS,primary,Eggermont AMM et al,2015
