NCT,Author,Year,PMID,ici_class,Name of ICI,Authors
NCT00527735,Lynch TJ et al,2012,22547592,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,Lynch TJ et al,2012,22547592,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,Lynch TJ et al,2012,22547592,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,Lynch TJ et al,2012,22547592,CTLA-4,Ipilimumab,Reck M et al (1)
NCT00527735,Lynch TJ et al (1),2012,22547592,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,Lynch TJ et al (1),2012,22547592,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,Lynch TJ et al (1),2012,22547592,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,Lynch TJ et al (1),2012,22547592,CTLA-4,Ipilimumab,Reck M et al (1)
NCT00527735,Reck M et al,2012,22858559,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,Reck M et al,2012,22858559,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,Reck M et al,2012,22858559,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,Reck M et al,2012,22858559,CTLA-4,Ipilimumab,Reck M et al (1)
NCT00527735,Reck M et al (1),2012,22858559,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,Reck M et al (1),2012,22858559,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,Reck M et al (1),2012,22858559,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,Reck M et al (1),2012,22858559,CTLA-4,Ipilimumab,Reck M et al (1)
NCT01673867,Borghaei  H et al,2015,26412456,PD-1,Nivolumab,Borghaei  H et al
NCT01642004,Brahmer J et al,2015,26028407,PD-1,Nivolumab,Brahmer J et al
NCT01905657,Herbst RS et al,2016,26712084,PD-1,Pembrolizumab,Herbst RS et al
NCT01905657,Herbst RS et al,2016,26712084,PD-1,Pembrolizumab,Herbst RS et al (1)
NCT01905657,Herbst RS et al (1),2016,26712084,PD-1,Pembrolizumab,Herbst RS et al
NCT01905657,Herbst RS et al (1),2016,26712084,PD-1,Pembrolizumab,Herbst RS et al (1)
NCT01903993,Fehrenbacher L et al,2016,26970723,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT01903993,Fehrenbacher L et al,2016,26970723,PD-L1,Atezolizumab,Mazieres J et al
NCT01450761,Reck M et al,2016,27458307,CTLA-4,Ipilimumab,Reck M et al
NCT02041533,Carbone DP et al,2017,28636851,PD-1,Nivolumab,Carbone DP et al
NCT01285609,Govindan R et al,2017,28854067,CTLA-4,Ipilimumab,Govindan R et al
NCT02125461,Antonia SJ et al,2017,28885881,PD-L1,Durvalumab,Antonia SJ et al
NCT02125461,Antonia SJ et al,2017,28885881,PD-L1,Durvalumab,Antonia SJ et al
NCT02125461,Antonia SJ et al,2018,30280658,PD-L1,Durvalumab,Antonia SJ et al
NCT02125461,Antonia SJ et al,2018,30280658,PD-L1,Durvalumab,Antonia SJ et al
NCT02395172,Barlesi F et al,2018,30262187,PD-L1,Atezolizumab,Barlesi F et al
NCT02039674,Langer JC et al,2016,27745820,PD-1,Pembrolizumab,Langer JC et al
NCT02039674,Langer JC et al,2016,27745820,PD-1,Pembrolizumab,Borghaei  H et al
NCT02039674,Borghaei  H et al,2018,30138764,PD-1,Pembrolizumab,Langer JC et al
NCT02039674,Borghaei  H et al,2018,30138764,PD-1,Pembrolizumab,Borghaei  H et al
NCT02008227,Rittmeyer A et al,2017,27979383,PD-L1,Atezolizumab,Rittmeyer A et al
NCT02008227,Rittmeyer A et al,2017,27979383,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT02008227,Rittmeyer A et al,2017,27979383,PD-L1,Atezolizumab,Mazieres J et al
NCT02008227,Fehrenbacher L et al,2018,29777823,PD-L1,Atezolizumab,Rittmeyer A et al
NCT02008227,Fehrenbacher L et al,2018,29777823,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT02008227,Fehrenbacher L et al,2018,29777823,PD-L1,Atezolizumab,Mazieres J et al
NCT02578680,Gandhi L et al,2018,29658856,PD-1,Pembrolizumab,Gandhi L et al
NCT02763579,Horn L et al,2018,30280641,PD-L1,Atezolizumab,Horn L et al
NCT02763579,Horn L et al,2018,30280641,PD-L1,Atezolizumab,Mansfield AS et al
