NCT,PMID,Author,Year,ici_class,Name of ICI,Authors
NCT00527735,22547592,Lynch TJ et al,2012,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,22547592,Lynch TJ et al,2012,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,22547592,Lynch TJ et al,2012,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,22547592,Lynch TJ et al,2012,CTLA-4,Ipilimumab,Reck M et al (1)
NCT00527735,22547592,Lynch TJ et al (1),2012,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,22547592,Lynch TJ et al (1),2012,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,22547592,Lynch TJ et al (1),2012,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,22547592,Lynch TJ et al (1),2012,CTLA-4,Ipilimumab,Reck M et al (1)
NCT00527735,22858559,Reck M et al,2012,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,22858559,Reck M et al,2012,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,22858559,Reck M et al,2012,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,22858559,Reck M et al,2012,CTLA-4,Ipilimumab,Reck M et al (1)
NCT00527735,22858559,Reck M et al (1),2012,CTLA-4,Ipilimumab,Lynch TJ et al
NCT00527735,22858559,Reck M et al (1),2012,CTLA-4,Ipilimumab,Lynch TJ et al (1)
NCT00527735,22858559,Reck M et al (1),2012,CTLA-4,Ipilimumab,Reck M et al
NCT00527735,22858559,Reck M et al (1),2012,CTLA-4,Ipilimumab,Reck M et al (1)
NCT01673867,26412456,Borghaei  H et al,2015,PD-1,Nivolumab,Borghaei  H et al
NCT01642004,26028407,Brahmer J et al,2015,PD-1,Nivolumab,Brahmer J et al
NCT01905657,26712084,Herbst RS et al,2016,PD-1,Pembrolizumab,Herbst RS et al
NCT01905657,26712084,Herbst RS et al,2016,PD-1,Pembrolizumab,Herbst RS et al (1)
NCT01905657,26712084,Herbst RS et al (1),2016,PD-1,Pembrolizumab,Herbst RS et al
NCT01905657,26712084,Herbst RS et al (1),2016,PD-1,Pembrolizumab,Herbst RS et al (1)
NCT01903993,26970723,Fehrenbacher L et al,2016,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT01903993,26970723,Fehrenbacher L et al,2016,PD-L1,Atezolizumab,Mazieres J et al
NCT01450761,27458307,Reck M et al,2016,CTLA-4,Ipilimumab,Reck M et al
NCT02041533,28636851,Carbone DP et al,2017,PD-1,Nivolumab,Carbone DP et al
NCT01285609,28854067,Govindan R et al,2017,CTLA-4,Ipilimumab,Govindan R et al
NCT02125461,28885881,Antonia SJ et al,2017,PD-L1,Durvalumab,Antonia SJ et al
NCT02125461,28885881,Antonia SJ et al,2017,PD-L1,Durvalumab,Antonia SJ et al
NCT02125461,30280658,Antonia SJ et al,2018,PD-L1,Durvalumab,Antonia SJ et al
NCT02125461,30280658,Antonia SJ et al,2018,PD-L1,Durvalumab,Antonia SJ et al
NCT02395172,30262187,Barlesi F et al,2018,PD-L1,Atezolizumab,Barlesi F et al
NCT02039674,27745820,Langer JC et al,2016,PD-1,Pembrolizumab,Langer JC et al
NCT02039674,27745820,Langer JC et al,2016,PD-1,Pembrolizumab,Borghaei  H et al
NCT02039674,30138764,Borghaei  H et al,2018,PD-1,Pembrolizumab,Langer JC et al
NCT02039674,30138764,Borghaei  H et al,2018,PD-1,Pembrolizumab,Borghaei  H et al
NCT02008227,27979383,Rittmeyer A et al,2017,PD-L1,Atezolizumab,Rittmeyer A et al
NCT02008227,27979383,Rittmeyer A et al,2017,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT02008227,27979383,Rittmeyer A et al,2017,PD-L1,Atezolizumab,Mazieres J et al
NCT02008227,29777823,Fehrenbacher L et al,2018,PD-L1,Atezolizumab,Rittmeyer A et al
NCT02008227,29777823,Fehrenbacher L et al,2018,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT02008227,29777823,Fehrenbacher L et al,2018,PD-L1,Atezolizumab,Mazieres J et al
NCT02578680,29658856,Gandhi L et al,2018,PD-1,Pembrolizumab,Gandhi L et al
NCT02763579,30280641,Horn L et al,2018,PD-L1,Atezolizumab,Horn L et al
NCT02763579,30280641,Horn L et al,2018,PD-L1,Atezolizumab,Mansfield AS et al
NCT02775435,30280635,Paz-Ares L et al,2018,PD-1,Pembrolizumab,Paz-Ares L et al
NCT02366143,29863955,Socinski MA et al,2018,PD-L1,Atezolizumab,Socinski MA et al
