NCT,PMID,is_follow_up,original_publication_status,Authors,Year
NCT01585987,28655793,False,Original publication,Bang YJ et al,2017
NCT02267343,28993052,False,Original publication,Kang YK et al,2017
NCT02267343,28993052,False,Original publication,Chen LT et al,2019
NCT02625623,30052729,False,Original publication,Bang YJ et al,2018
NCT02370498,29880231,False,Original publication,Shitara K et al,2018
NCT02267343,31863227,True,Follow-up,Kang YK et al,2017
NCT02267343,31863227,True,Follow-up,Chen LT et al,2019
NCT02569242,31582355,False,Original publication,Kato K et al,2019
NCT02494583,32880601,False,Original publication,Shitara K et al,2020
NCT02494583,32880601,False,Original publication,Shitara K et al (1),2020
NCT02625610,33197226,False,Original publication,Moehler M et al,2020
NCT02564263,33026938,False,Original publication,Kojima T et al.,2020
