NCT,PMID,follow_up_bucket,follow_up_months,Authors,Year
NCT02362594,29658430,12-23,15.1,Eggermont AMM et al,2018
NCT02362594,29658430,12-23,15.1,Eggermont AMM et al,2020
NCT01704287,26115796,<12,10.0,Ribas A et al,2015
NCT01704287,26115796,<12,10.0,Ribas A et al (1),2015
NCT01704287,26115796,<12,10.0,Hamid O et al,2017
NCT01704287,26115796,<12,10.0,Hamid O et al (1),2017
NCT01704287,26115796,<12,10.0,Ribas A et al,2015
NCT01704287,26115796,<12,10.0,Ribas A et al (1),2015
NCT01704287,26115796,<12,10.0,Hamid O et al,2017
NCT01704287,26115796,<12,10.0,Hamid O et al (1),2017
NCT01704287,28961465,>=24,28.0,Ribas A et al,2015
NCT01704287,28961465,>=24,28.0,Ribas A et al (1),2015
NCT01704287,28961465,>=24,28.0,Hamid O et al,2017
NCT01704287,28961465,>=24,28.0,Hamid O et al (1),2017
NCT01704287,28961465,>=24,28.0,Ribas A et al,2015
NCT01704287,28961465,>=24,28.0,Ribas A et al (1),2015
NCT01704287,28961465,>=24,28.0,Hamid O et al,2017
NCT01704287,28961465,>=24,28.0,Hamid O et al (1),2017
NCT00636168,27717298,<12,5.3,Eggermont AMM et al,2016
NCT00636168,27717298,<12,5.3,Eggermont AMM et al,2015
NCT01721746,25795410,<12,6.0,Weber JS et al,2015
NCT01721746,25795410,<12,6.0,Larkin J et al,2018
NCT01721746,28671856,>=24,24.0,Weber JS et al,2015
NCT01721746,28671856,>=24,24.0,Larkin J et al,2018
NCT02130466,31171878,<12,9.6,Ascierto PA et al,2019
NCT02130466,31171878,<12,9.6,Ferrucci PF et al,2020
NCT01721772,25399552,12-23,16.7,Robert C et al,2015
NCT01721772,25399552,12-23,16.7,Ascierto PA et al,2019
NCT01721772,25399552,12-23,16.7,Robert C et al,2020
NCT01721772,30422243,>=24,38.4,Robert C et al,2015
NCT01721772,30422243,>=24,38.4,Ascierto PA et al,2019
NCT01721772,30422243,>=24,38.4,Robert C et al,2020
NCT01274338,31880964,>=24,57.4,Tarhini AA et al,2020
NCT01274338,31880964,>=24,57.4,Tarhini AA et al (1),2020
NCT01274338,31880964,>=24,57.4,Tarhini AA et al,2020
NCT01274338,31880964,>=24,57.4,Tarhini AA et al (1),2020
NCT02523313,32416781,>=24,28.4,Zimmer L et al,2020
NCT02523313,32416781,>=24,28.4,Zimmer L et al (1),2020
NCT02523313,32416781,>=24,28.4,Zimmer L et al,2020
NCT02523313,32416781,>=24,28.4,Zimmer L et al (1),2020
NCT02908672,32534646,12-23,18.9,Gutzmer R et al,2020
NCT02130466,33361337,>=24,36.6,Ascierto PA et al,2019
NCT02130466,33361337,>=24,36.6,Ferrucci PF et al,2020
NCT02362594,32946353,>=24,36.6,Eggermont AMM et al,2018
NCT02362594,32946353,>=24,36.6,Eggermont AMM et al,2020
