NCT,PMID,irAE_assessed,Secondary endpoint,Authors,Year
NCT02252042,30509740,no,"OS in the population with 
a PD-L1 combined positive 
score of 1 or higher; safety, 
PFS,ORR, duration of 
confirmed response in all 
participants and those with a PD-L1 combined positive score of 1 or higher.",Cohen EEW et al,2018
NCT02105636,27718784,no,"PFS, ORR",Ferris RL et al,2016
NCT02105636,27718784,no,"PFS, ORR",Ferris RL et al,2018
NCT02105636,29884413,no,"PFS, ORR",Ferris RL et al,2016
NCT02105636,29884413,no,"PFS, ORR",Ferris RL et al,2018
NCT02358031,31679945,no,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",Burtness B et al,2019
NCT02358031,31679945,no,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",Burtness B et al (1),2019
NCT02358031,31679945,no,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",Burtness B et al,2019
NCT02358031,31679945,no,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",Burtness B et al (1),2019
NCT02017717,32437507,no,OS rate at 12 months; investigator-assessed PFS and ORR.,Reardon DA et al,2020
NCT02369874,32294530,no,"PFS, ORR, DOR",Ferris RL et al,2020
NCT02369874,32294530,no,"PFS, ORR, DOR",Ferris RL et al (1),2020
NCT02369874,32294530,no,"PFS, ORR, DOR",Ferris RL et al,2020
NCT02369874,32294530,no,"PFS, ORR, DOR",Ferris RL et al (1),2020
NCT02952586,33794205,no,OS; ORR; DoR; path CR,Lee NY et al,2021
NCT02999087,33125944,no,Safety,Tao Y et al.,2021
