NCT,PMID,ici_class,Name of ICI,Authors,Year
NCT00527735,22547592,CTLA-4,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Reck M et al,2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Reck M et al (1),2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Reck M et al,2012
NCT00527735,22547592,CTLA-4,Ipilimumab,Reck M et al (1),2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Reck M et al,2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Reck M et al (1),2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Reck M et al,2012
NCT00527735,22858559,CTLA-4,Ipilimumab,Reck M et al (1),2012
NCT01673867,26412456,PD-1,Nivolumab,Borghaei  H et al,2015
NCT01642004,26028407,PD-1,Nivolumab,Brahmer J et al,2015
NCT01905657,26712084,PD-1,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,PD-1,Pembrolizumab,Herbst RS et al (1),2016
NCT01905657,26712084,PD-1,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,PD-1,Pembrolizumab,Herbst RS et al (1),2016
NCT01903993,26970723,PD-L1,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,26970723,PD-L1,Atezolizumab,Mazieres J et al,2020
NCT01450761,27458307,CTLA-4,Ipilimumab,Reck M et al,2016
NCT02041533,28636851,PD-1,Nivolumab,Carbone DP et al,2017
NCT01285609,28854067,CTLA-4,Ipilimumab,Govindan R et al,2017
NCT02125461,28885881,PD-L1,Durvalumab,Antonia SJ et al,2017
NCT02125461,28885881,PD-L1,Durvalumab,Antonia SJ et al,2018
NCT02125461,30280658,PD-L1,Durvalumab,Antonia SJ et al,2017
NCT02125461,30280658,PD-L1,Durvalumab,Antonia SJ et al,2018
NCT02395172,30262187,PD-L1,Atezolizumab,Barlesi F et al,2018
NCT02039674,27745820,PD-1,Pembrolizumab,Langer JC et al,2016
NCT02039674,27745820,PD-1,Pembrolizumab,Borghaei  H et al,2018
NCT02039674,30138764,PD-1,Pembrolizumab,Langer JC et al,2016
NCT02039674,30138764,PD-1,Pembrolizumab,Borghaei  H et al,2018
NCT02008227,27979383,PD-L1,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,27979383,PD-L1,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,27979383,PD-L1,Atezolizumab,Mazieres J et al,2020
NCT02008227,29777823,PD-L1,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,29777823,PD-L1,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,29777823,PD-L1,Atezolizumab,Mazieres J et al,2020
NCT02578680,29658856,PD-1,Pembrolizumab,Gandhi L et al,2018
NCT02763579,30280641,PD-L1,Atezolizumab,Horn L et al,2018
NCT02763579,30280641,PD-L1,Atezolizumab,Mansfield AS et al,2020
NCT02775435,30280635,PD-1,Pembrolizumab,Paz-Ares L et al,2018
NCT02366143,29863955,PD-L1,Atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,PD-L1,Atezolizumab,Socinski MA et al (1),2018
NCT02366143,29863955,PD-L1,Atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,PD-L1,Atezolizumab,Socinski MA et al (1),2018
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
