NCT,PMID,Author,Year,follow_up_type,Type of follow-up given,Authors
NCT02425891,30345906,Schmid P et al,2018,unknown,Median,Schmid P et al
NCT02425891,30345906,Schmid P et al,2018,unknown,Median,Schmid P et al
NCT01042379,32053137,Nanda R et al,2019,unknown,Median,Nanda R et al
NCT02425891,31786121,Schmid P et al,2019,unknown,Median,Schmid P et al
NCT02425891,31786121,Schmid P et al,2019,unknown,Median,Schmid P et al
NCT03036488,32101663,Schmid P et al,2020,unknown,Median,Schmid P et al
NCT03051659,32880602,Tolaney SM et al,2020,unknown,Median,Tolaney SM et al
NCT02819518,33278935,Cortes J et al,2020,unknown,Median,Cortes J et al
NCT03197935,32966830,Mittendorf EA et al,2020,unknown,Median,Mittendorf EA et al
NCT02924883,33002436,Emens LA et al,2020,unknown,Median,Emens LA et al
NCT02299999,33462450,Bachelot T et al,2021,unknown,Median,Bachelot T et al
NCT02555657,33676601,Winer PE et al,2021,unknown,Median,Winer PE et al
