NCT,PMID,endpoint_type,Primary endpoint,Secondary endpoint,Authors,Year
NCT02425891,30345906,both,OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR",Schmid P et al,2018
NCT02425891,30345906,both,OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR",Schmid P et al,2019
NCT02685059,31095287,both,Path CR,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]",Loibl S et al,2019
NCT01042379,32053137,both,Path CR,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.,Nanda R et al,2019
NCT02425891,31786121,both,OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR",Schmid P et al,2018
NCT02425891,31786121,both,OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR",Schmid P et al,2019
NCT03036488,32101663,both,Path CR+EFS,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors.",Schmid P et al,2020
NCT03051659,32880602,both,PFS,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability",Tolaney SM et al,2020
NCT02819518,33278935,both,OS+PFS,"ORR, DoR, DCR",Cortes J et al,2020
NCT03197935,32966830,both,Path CR in ITT+Path CR in PD-L1+,"OS, Event free survival , disease free survival",Mittendorf EA et al,2020
NCT02924883,33002436,both,PFS,"OS, ORR, DOR",Emens LA et al,2020
NCT02299999,33462450,both,PFS,OS,Bachelot T et al,2021
NCT02555657,33676601,both,OS,PFS; ORR; DCR; DoR; safety,Winer PE et al,2021
