NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT02807636,32416780,active,Chemo,Galsky MD et al,2020
NCT02807636,32416780,active,Chemo,Galsky MD et al (1),2020
NCT02807636,32416780,active,Chemo,Galsky MD et al,2020
NCT02807636,32416780,active,Chemo,Galsky MD et al (1),2020
NCT02516241,32971005,active,Chemo,Powles T et al,2020
NCT02516241,32971005,active,Chemo,Powles T et al (1),2020
NCT02516241,32971005,active,Chemo,Powles T et al,2020
NCT02516241,32971005,active,Chemo,Powles T et al (1),2020
NCT02603432,32945632,best supportive care,Best supportive care,Powles T et al,2020
NCT02450331,33721560,unknown,Observation,Bellmunt J et al,2021
