NCT,PMID,ici_class,Name of ICI,Authors,Year
NCT01585987,28655793,CTLA-4,Ipilimumab,Bang YJ et al,2017
NCT02267343,28993052,PD-1,Nivolumab,Kang YK et al,2017
NCT02267343,28993052,PD-1,Nivolumab,Chen LT et al,2019
NCT02625623,30052729,PD-L1,Avelumab,Bang YJ et al,2018
NCT02370498,29880231,PD-1,Pembrolizumab,Shitara K et al,2018
NCT02267343,31863227,PD-1,Nivolumab,Kang YK et al,2017
NCT02267343,31863227,PD-1,Nivolumab,Chen LT et al,2019
NCT02569242,31582355,PD-1,Nivolumab,Kato K et al,2019
NCT02494583,32880601,PD-1,Pembrolizumab,Shitara K et al,2020
NCT02494583,32880601,PD-1,Pembrolizumab,Shitara K et al (1),2020
NCT02494583,32880601,PD-1,Pembrolizumab,Shitara K et al,2020
NCT02494583,32880601,PD-1,Pembrolizumab,Shitara K et al (1),2020
NCT02625610,33197226,PD-L1,Avelumab,Moehler M et al,2020
NCT02564263,33026938,PD-1,Pembrolizumab,Kojima T et al.,2020
