NCT,PMID,year_bucket,Year,Authors
NCT02685059,31095287,>=2019,2019,Loibl S et al
NCT02125461,28885881,2015-2018,2017,Antonia SJ et al
NCT02125461,28885881,2015-2018,2017,Antonia SJ et al
NCT02125461,30280658,2015-2018,2018,Antonia SJ et al
NCT02125461,30280658,2015-2018,2018,Antonia SJ et al
NCT02454933,30763730,>=2019,2019,Yang JCH et al
NCT00257205,23295794,<=2014,2013,Ribas A et al
NCT01843374,28729154,2015-2018,2017,Maio M et al
NCT03043872,31590988,>=2019,2019,Paz-Ares L et al
NCT03043872,31590988,>=2019,2019,Paz-Ares L et al (1)
NCT03043872,31590988,>=2019,2019,Goldman JW et al
NCT03043872,31590988,>=2019,2019,Goldman JW et al (1)
NCT03043872,31590988,>=2019,2019,Paz-Ares L et al
NCT03043872,31590988,>=2019,2019,Paz-Ares L et al (1)
NCT03043872,31590988,>=2019,2019,Goldman JW et al
NCT03043872,31590988,>=2019,2019,Goldman JW et al (1)
NCT02352948,32201234,>=2019,2020,Planchard D et al
NCT02352948,32201234,>=2019,2020,Planchard D et al (1)
NCT02352948,32201234,>=2019,2020,Planchard D et al (2)
NCT02352948,32201234,>=2019,2020,Planchard D et al
NCT02352948,32201234,>=2019,2020,Planchard D et al (1)
NCT02352948,32201234,>=2019,2020,Planchard D et al (2)
NCT02352948,32201234,>=2019,2020,Planchard D et al
NCT02352948,32201234,>=2019,2020,Planchard D et al (1)
NCT02352948,32201234,>=2019,2020,Planchard D et al (2)
NCT02453282,32271377,>=2019,2020,Rizvi NA et al
NCT02453282,32271377,>=2019,2020,Rizvi NA et al (1)
NCT02453282,32271377,>=2019,2020,Rizvi NA et al
NCT02453282,32271377,>=2019,2020,Rizvi NA et al (1)
NCT02369874,32294530,>=2019,2020,Ferris RL et al
NCT02369874,32294530,>=2019,2020,Ferris RL et al (1)
NCT02369874,32294530,>=2019,2020,Ferris RL et al
NCT02369874,32294530,>=2019,2020,Ferris RL et al (1)
NCT02870920,32379280,>=2019,2020,Chen EX et al
NCT02516241,32971005,>=2019,2020,Powles T et al
NCT02516241,32971005,>=2019,2020,Powles T et al (1)
NCT02516241,32971005,>=2019,2020,Powles T et al
NCT02516241,32971005,>=2019,2020,Powles T et al (1)
NCT03043872,33285097,>=2019,2020,Paz-Ares L et al
NCT03043872,33285097,>=2019,2020,Paz-Ares L et al (1)
NCT03043872,33285097,>=2019,2020,Goldman JW et al
NCT03043872,33285097,>=2019,2020,Goldman JW et al (1)
NCT03043872,33285097,>=2019,2020,Paz-Ares L et al
NCT03043872,33285097,>=2019,2020,Paz-Ares L et al (1)
NCT03043872,33285097,>=2019,2020,Goldman JW et al
NCT03043872,33285097,>=2019,2020,Goldman JW et al (1)
NCT02299999,33462450,>=2019,2021,Bachelot T et al
