NCT,PMID,trial_phase_bucket,Trial phase,Authors,Year
NCT00257205,23295794,late,Phase 3,Ribas A et al,2013
NCT01843374,28729154,early,Phase 2,Maio M et al,2017
NCT03043872,31590988,late,Phase 3,Paz-Ares L et al,2019
NCT03043872,31590988,late,Phase 3,Paz-Ares L et al (1),2019
NCT03043872,31590988,late,Phase 3,Goldman JW et al,2020
NCT03043872,31590988,late,Phase 3,Goldman JW et al (1),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al,2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (1),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (2),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al,2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (1),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (2),2020
NCT02453282,32271377,late,Phase 3,Rizvi NA et al,2020
NCT02453282,32271377,late,Phase 3,Rizvi NA et al (1),2020
NCT02369874,32294530,late,Phase 3,Ferris RL et al,2020
NCT02369874,32294530,late,Phase 3,Ferris RL et al (1),2020
NCT02870920,32379280,early,Phase 2,Chen EX et al,2020
NCT02516241,32971005,late,Phase 3,Powles T et al,2020
NCT02516241,32971005,late,Phase 3,Powles T et al (1),2020
NCT03043872,33285097,late,Phase 3,Paz-Ares L et al,2019
NCT03043872,33285097,late,Phase 3,Paz-Ares L et al (1),2019
NCT03043872,33285097,late,Phase 3,Goldman JW et al,2020
NCT03043872,33285097,late,Phase 3,Goldman JW et al (1),2020
