NCT,PMID,sample_size_bucket,Total sample size,Authors,Year
NCT01585987,28655793,medium,114.0,Bang YJ et al,2017
NCT02267343,28993052,large,493.0,Kang YK et al,2017
NCT02267343,28993052,large,493.0,Chen LT et al,2019
NCT02105636,27718784,large,361.0,Ferris RL et al,2016
NCT02105636,27718784,large,361.0,Ferris RL et al,2018
NCT02105636,29884413,large,361.0,Ferris RL et al,2016
NCT02105636,29884413,large,361.0,Ferris RL et al,2018
NCT01668784,26406148,large,821.0,Motzer RJ et al,2015
NCT01668784,26406148,large,821.0,Motzer RJ et al,2020
NCT02231749,29562145,large,1096.0,Motzer RJ et al,2018
NCT02231749,29562145,large,1096.0,Motzer RJ et al,2019
NCT02231749,29562145,large,1096.0,Motzer RJ et al,2020
NCT02231749,31427204,large,1096.0,Motzer RJ et al,2018
NCT02231749,31427204,large,1096.0,Motzer RJ et al,2019
NCT02231749,31427204,large,1096.0,Motzer RJ et al,2020
NCT00527735,22547592,medium,204.0,Lynch TJ et al,2012
NCT00527735,22547592,medium,204.0,Lynch TJ et al (1),2012
NCT00527735,22547592,medium,204.0,Reck M et al,2012
NCT00527735,22547592,medium,204.0,Reck M et al (1),2012
NCT00527735,22547592,medium,204.0,Lynch TJ et al,2012
NCT00527735,22547592,medium,204.0,Lynch TJ et al (1),2012
NCT00527735,22547592,medium,204.0,Reck M et al,2012
NCT00527735,22547592,medium,204.0,Reck M et al (1),2012
NCT00527735,22858559,medium,130.0,Lynch TJ et al,2012
NCT00527735,22858559,medium,130.0,Lynch TJ et al (1),2012
NCT00527735,22858559,medium,130.0,Reck M et al,2012
NCT00527735,22858559,medium,130.0,Reck M et al (1),2012
NCT00527735,22858559,medium,130.0,Lynch TJ et al,2012
NCT00527735,22858559,medium,130.0,Lynch TJ et al (1),2012
NCT00527735,22858559,medium,130.0,Reck M et al,2012
NCT00527735,22858559,medium,130.0,Reck M et al (1),2012
NCT01673867,26412456,large,582.0,Borghaei  H et al,2015
NCT01642004,26028407,medium,272.0,Brahmer J et al,2015
NCT01450761,27458307,large,1132.0,Reck M et al,2016
NCT02041533,28636851,large,423.0,Carbone DP et al,2017
NCT01285609,28854067,large,749.0,Govindan R et al,2017
NCT02477826,29658845,large,1739.0,Hellmann MD et al,2018
