NCT,PMID,brand_name,Name of ICI,Authors,Year
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Reck M et al,2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Reck M et al (1),2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Reck M et al,2012
NCT00527735,22547592,OTHER/UNKNOWN,Ipilimumab,Reck M et al (1),2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Reck M et al,2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Reck M et al (1),2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al,2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Lynch TJ et al (1),2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Reck M et al,2012
NCT00527735,22858559,OTHER/UNKNOWN,Ipilimumab,Reck M et al (1),2012
NCT01673867,26412456,OTHER/UNKNOWN,Nivolumab,Borghaei  H et al,2015
NCT01642004,26028407,OTHER/UNKNOWN,Nivolumab,Brahmer J et al,2015
NCT01905657,26712084,OTHER/UNKNOWN,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,OTHER/UNKNOWN,Pembrolizumab,Herbst RS et al (1),2016
NCT01905657,26712084,OTHER/UNKNOWN,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,OTHER/UNKNOWN,Pembrolizumab,Herbst RS et al (1),2016
NCT01903993,26970723,Atezolizumab,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,26970723,Atezolizumab,Atezolizumab,Mazieres J et al,2020
NCT01450761,27458307,OTHER/UNKNOWN,Ipilimumab,Reck M et al,2016
NCT02041533,28636851,OTHER/UNKNOWN,Nivolumab,Carbone DP et al,2017
NCT01285609,28854067,OTHER/UNKNOWN,Ipilimumab,Govindan R et al,2017
NCT02125461,28885881,Durvalumab,Durvalumab,Antonia SJ et al,2017
NCT02125461,28885881,Durvalumab,Durvalumab,Antonia SJ et al,2018
NCT02125461,30280658,Durvalumab,Durvalumab,Antonia SJ et al,2017
NCT02125461,30280658,Durvalumab,Durvalumab,Antonia SJ et al,2018
NCT02395172,30262187,Atezolizumab,Atezolizumab,Barlesi F et al,2018
NCT02039674,27745820,OTHER/UNKNOWN,Pembrolizumab,Langer JC et al,2016
NCT02039674,27745820,OTHER/UNKNOWN,Pembrolizumab,Borghaei  H et al,2018
NCT02039674,30138764,OTHER/UNKNOWN,Pembrolizumab,Langer JC et al,2016
NCT02039674,30138764,OTHER/UNKNOWN,Pembrolizumab,Borghaei  H et al,2018
NCT02008227,27979383,Atezolizumab,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,27979383,Atezolizumab,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,27979383,Atezolizumab,Atezolizumab,Mazieres J et al,2020
NCT02008227,29777823,Atezolizumab,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,29777823,Atezolizumab,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,29777823,Atezolizumab,Atezolizumab,Mazieres J et al,2020
NCT02578680,29658856,OTHER/UNKNOWN,Pembrolizumab,Gandhi L et al,2018
NCT02763579,30280641,Atezolizumab,Atezolizumab,Horn L et al,2018
NCT02763579,30280641,Atezolizumab,Atezolizumab,Mansfield AS et al,2020
NCT02775435,30280635,OTHER/UNKNOWN,Pembrolizumab,Paz-Ares L et al,2018
NCT02366143,29863955,Atezolizumab,Atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,Atezolizumab,Atezolizumab,Socinski MA et al (1),2018
NCT02366143,29863955,Atezolizumab,Atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,Atezolizumab,Atezolizumab,Socinski MA et al (1),2018
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,29658845,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,31562796,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02220894,30955977,OTHER/UNKNOWN,Pembrolizumab,Mok TSK et al,2019
NCT03059667,30664989,Atezolizumab,Atezolizumab,Pujol JL et al,2019
NCT02142738,30620668,OTHER/UNKNOWN,Pembrolizumab,Reck M et al,2019
NCT02142738,30620668,OTHER/UNKNOWN,Pembrolizumab,Reck M et al,2016
NCT02367781,31122901,Atezolizumab,Atezolizumab,West H et al,2019
NCT02613507,30659987,OTHER/UNKNOWN,Nivolumab,Wu YL et al,2019
NCT02454933,30763730,Durvalumab,Durvalumab,Yang JCH et al,2019
NCT03043872,31590988,Durvalumab,Durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,Durvalumab,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,Durvalumab,Durvalumab,Goldman JW et al,2020
NCT03043872,31590988,Durvalumab,Durvalumab,Goldman JW et al (1),2020
NCT03043872,31590988,Durvalumab,Durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,Durvalumab,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,Durvalumab,Durvalumab,Goldman JW et al,2020
NCT03043872,31590988,Durvalumab,Durvalumab,Goldman JW et al (1),2020
NCT02763579,31959349,Atezolizumab,Atezolizumab,Horn L et al,2018
NCT02763579,31959349,Atezolizumab,Atezolizumab,Mansfield AS et al,2020
NCT02352948,32201234,Durvalumab,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,Durvalumab,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,Durvalumab,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,Durvalumab,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,Durvalumab,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,Durvalumab,Durvalumab,Planchard D et al (2),2020
NCT03066778,32468956,OTHER/UNKNOWN,Pembrolizumab,Rudin CM et al,2020
NCT02453282,32271377,Durvalumab,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,Durvalumab,Durvalumab,Rizvi NA et al (1),2020
NCT02453282,32271377,Durvalumab,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,Durvalumab,Durvalumab,Rizvi NA et al (1),2020
NCT02367794,32302702,Atezolizumab,Atezolizumab,Jotte R et al,2020
NCT02367794,32302702,Atezolizumab,Atezolizumab,Jotte R et al (1),2020
NCT02367794,32302702,Atezolizumab,Atezolizumab,Jotte R et al,2020
NCT02367794,32302702,Atezolizumab,Atezolizumab,Jotte R et al (1),2020
NCT02574598,32271354,OTHER/UNKNOWN,Pembrolizumab,Arrieta O et al,2020
NCT02142738,27718847,OTHER/UNKNOWN,Pembrolizumab,Reck M et al,2019
NCT02142738,27718847,OTHER/UNKNOWN,Pembrolizumab,Reck M et al,2016
NCT02409342,32997907,Atezolizumab,Atezolizumab,Herbst RS et al.,2020
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Paz-Ares L et al,2019
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Paz-Ares L et al (1),2019
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Goldman JW et al,2020
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Goldman JW et al (1),2020
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Paz-Ares L et al,2019
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Paz-Ares L et al (1),2019
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Goldman JW et al,2020
NCT03043872,33285097,Durvalumab,"Durvalumab, Tremelimumab",Goldman JW et al (1),2020
NCT01903993,33166718,Atezolizumab,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,33166718,Atezolizumab,Atezolizumab,Mazieres J et al,2020
NCT02008227,33166718,Atezolizumab,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,33166718,Atezolizumab,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,33166718,Atezolizumab,Atezolizumab,Mazieres J et al,2020
NCT03215706,33476593,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Paz-Ares L et al,2021
NCT02481830,33539946,OTHER/UNKNOWN,Nivolumab,Spigel DR et al,2021
NCT02538666,33683919,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT02538666,33683919,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT02538666,33683919,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT02538666,33683919,OTHER/UNKNOWN,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT03088540,33581821,OTHER/UNKNOWN,Cemiplimab,Sezer A et al,2021
NCT02852083,33796020,OTHER/UNKNOWN,Nivolumab,Heudobler D et al,2021
