NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT02267343,28993052,placebo,Placebo,Kang YK et al,2017
NCT02267343,28993052,placebo,Placebo,Chen LT et al,2019
NCT02625623,30052729,best supportive care,Best supportive care,Bang YJ et al,2018
NCT02370498,29880231,active,Chemo,Shitara K et al,2018
NCT02267343,31863227,placebo,Placebo,Kang YK et al,2017
NCT02267343,31863227,placebo,Placebo,Chen LT et al,2019
NCT02494583,32880601,active,Chemo,Shitara K et al,2020
NCT02494583,32880601,active,Chemo,Shitara K et al (1),2020
NCT02494583,32880601,active,Chemo,Shitara K et al,2020
NCT02494583,32880601,active,Chemo,Shitara K et al (1),2020
NCT02625610,33197226,active,Chemo,Moehler M et al,2020
