NCT,PMID,irae_assessed,Secondary endpoint,Authors,Year
NCT01668784,26406148,False,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",Motzer RJ et al,2015
NCT01668784,26406148,False,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",Motzer RJ et al,2020
NCT01984242,29867230,False,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",McDermott DF et al,2018
NCT01984242,29867230,False,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",McDermott DF et al (1),2018
NCT02231749,29562145,False,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",Motzer RJ et al,2018
NCT02231749,29562145,False,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",Motzer RJ et al,2019
NCT02231749,29562145,False,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",Motzer RJ et al,2020
NCT02231749,31427204,False,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",Motzer RJ et al,2018
NCT02231749,31427204,False,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",Motzer RJ et al,2019
NCT02231749,31427204,False,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",Motzer RJ et al,2020
NCT02684006,30779531,False,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,Motzer RJ et al,2019
NCT02684006,30779531,False,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,Choueiri TK et al,2020
NCT02853331,30779529,False,ORR; duration of response; safety,Rini BI et al,2019
NCT02853331,30779529,False,ORR; duration of response; safety,Powles T et al. ,2020
NCT02420821,31079938,True,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety,Rini BI et al,2019
NCT02231749,32661118,False,"ORR, PFS and OS in ITT population; incidence rate of AEs.",Motzer RJ et al,2018
NCT02231749,32661118,False,"ORR, PFS and OS in ITT population; incidence rate of AEs.",Motzer RJ et al,2019
NCT02231749,32661118,False,"ORR, PFS and OS in ITT population; incidence rate of AEs.",Motzer RJ et al,2020
NCT01668784,32673417,False,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",Motzer RJ et al,2015
NCT01668784,32673417,False,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",Motzer RJ et al,2020
NCT02684006,32339648,False,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,Motzer RJ et al,2019
NCT02684006,32339648,False,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,Choueiri TK et al,2020
NCT02853331,33284113,False,"ORR, DoR, safety, tolerability",Rini BI et al,2019
NCT02853331,33284113,False,"ORR, DoR, safety, tolerability",Powles T et al. ,2020
NCT02811861,33616314,False,OS; ORR; safety; investigator-assessed PFS,Motzer R et al,2021
NCT03141177,33657295,True,OS; ORR; safety,Choueiri TK et al,2021
