NCT,PMID,primary_endpoint_flag,secondary_endpoint_flag,Primary endpoint,Secondary endpoint,Authors,Year
NCT00527735,22547592,primary,secondary,PFS,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",Lynch TJ et al,2012
NCT00527735,22547592,primary,secondary,PFS,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",Lynch TJ et al (1),2012
NCT00527735,22547592,primary,secondary,PFS,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",Reck M et al,2012
NCT00527735,22547592,primary,secondary,PFS,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",Reck M et al (1),2012
NCT00527735,22858559,unknown,secondary,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",Lynch TJ et al,2012
NCT00527735,22858559,unknown,secondary,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",Lynch TJ et al (1),2012
NCT00527735,22858559,unknown,secondary,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",Reck M et al,2012
NCT00527735,22858559,unknown,secondary,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",Reck M et al (1),2012
NCT01673867,26412456,primary,secondary,OS,"OR, PFS, PRO",Borghaei  H et al,2015
NCT01642004,26028407,primary,secondary,OS,"OR, PFS, PRO",Brahmer J et al,2015
NCT01905657,26712084,primary,secondary,OS+PFS,"RR, DOR",Herbst RS et al,2016
NCT01905657,26712084,primary,secondary,OS+PFS,"RR, DOR",Herbst RS et al (1),2016
NCT01903993,26970723,primary,secondary,PFS,"ORR, PFS, DOR,OR",Fehrenbacher L et al,2016
NCT01903993,26970723,primary,secondary,PFS,"ORR, PFS, DOR,OR",Mazieres J et al,2020
NCT01450761,27458307,primary,secondary,OS,"PFS, ORR, DOR",Reck M et al,2016
NCT02041533,28636851,primary,secondary,PFS,"OS,PFS(PD-L1),RR, ",Carbone DP et al,2017
NCT01285609,28854067,primary,secondary,OS,"PFS, ORR, DOR, safety",Govindan R et al,2017
NCT02125461,28885881,primary,secondary,OS+PFS,"12-18 month PSA, DOR, ORR, Time to death, secondary progression, safety",Antonia SJ et al,2017
NCT02125461,28885881,primary,secondary,OS+PFS,"12-18 month PSA, DOR, ORR, Time to death, secondary progression, safety",Antonia SJ et al,2018
NCT02125461,30280658,primary,secondary,OS+PFS,"Time to death, secondary progression, safety",Antonia SJ et al,2017
NCT02125461,30280658,primary,secondary,OS+PFS,"Time to death, secondary progression, safety",Antonia SJ et al,2018
NCT02395172,30262187,primary,secondary,OS,"PFS, ORR, , BOR, PRO, Safety",Barlesi F et al,2018
NCT02039674,27745820,primary,secondary,ORR,"PFS, DOR, OS",Langer JC et al,2016
NCT02039674,27745820,primary,secondary,ORR,"PFS, DOR, OS",Borghaei  H et al,2018
NCT02039674,30138764,primary,secondary,ORR,"PFS, DOR, OS",Langer JC et al,2016
NCT02039674,30138764,primary,secondary,ORR,"PFS, DOR, OS",Borghaei  H et al,2018
NCT02008227,27979383,primary,secondary,OS,"PFS, ORR, DoR",Rittmeyer A et al,2017
NCT02008227,27979383,primary,secondary,OS,"PFS, ORR, DoR",Fehrenbacher L et al,2018
NCT02008227,27979383,primary,secondary,OS,"PFS, ORR, DoR",Mazieres J et al,2020
NCT02008227,29777823,primary,secondary,OS,"PFS, ORR, DoR",Rittmeyer A et al,2017
NCT02008227,29777823,primary,secondary,OS,"PFS, ORR, DoR",Fehrenbacher L et al,2018
NCT02008227,29777823,primary,secondary,OS,"PFS, ORR, DoR",Mazieres J et al,2020
NCT02578680,29658856,primary,secondary,OS+PFS,"ORR, DOR, safety",Gandhi L et al,2018
NCT02763579,30280641,primary,secondary,OS+PFS,"ORR, DOR",Horn L et al,2018
NCT02763579,30280641,primary,secondary,OS+PFS,"ORR, DOR",Mansfield AS et al,2020
NCT02775435,30280635,primary,secondary,OS+PFS,"ORR, DOR, safety",Paz-Ares L et al,2018
NCT02366143,29863955,primary,secondary,OS+PFS,"PFS, OS in ITT population",Socinski MA et al,2018
NCT02366143,29863955,primary,secondary,OS+PFS,"PFS, OS in ITT population",Socinski MA et al (1),2018
NCT02477826,29658845,primary,secondary,OS+PFS,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,Hellmann MD et al,2018
NCT02477826,29658845,primary,secondary,OS+PFS,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,Hellmann MD et al (1),2018
NCT02477826,29658845,primary,secondary,OS+PFS,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,Hellmann MD et al,2019
NCT02477826,29658845,primary,secondary,OS+PFS,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,Hellmann MD et al (1),2019
NCT02477826,29658845,primary,secondary,OS+PFS,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,Hellmann MD et al (2),2019
NCT02477826,31562796,primary,secondary,OS,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,Hellmann MD et al,2018
NCT02477826,31562796,primary,secondary,OS,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,Hellmann MD et al (1),2018
NCT02477826,31562796,primary,secondary,OS,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,Hellmann MD et al,2019
NCT02477826,31562796,primary,secondary,OS,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,Hellmann MD et al (1),2019
NCT02477826,31562796,primary,secondary,OS,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,Hellmann MD et al (2),2019
NCT02220894,30955977,primary,secondary,OS,"PFS, ORR in pts with PD-L1 TPS of >=50%; >=20%; >=1%",Mok TSK et al,2019
NCT03059667,30664989,primary,secondary,ORR,"OS, PFS, RR, Disease progression/Death, QoL",Pujol JL et al,2019
NCT02142738,30620668,primary,secondary,PFS,"OS, ORR, safety",Reck M et al,2019
NCT02142738,30620668,primary,secondary,PFS,"OS, ORR, safety",Reck M et al,2016
NCT03043872,31590988,primary,secondary,OS,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,Paz-Ares L et al,2019
NCT03043872,31590988,primary,secondary,OS,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,Paz-Ares L et al (1),2019
NCT03043872,31590988,primary,secondary,OS,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,Goldman JW et al,2020
NCT03043872,31590988,primary,secondary,OS,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,Goldman JW et al (1),2020
NCT02763579,31959349,primary,secondary,OS+PFS,Patient-reported outcomes,Horn L et al,2018
NCT02763579,31959349,primary,secondary,OS+PFS,Patient-reported outcomes,Mansfield AS et al,2020
NCT02352948,32201234,primary,secondary,OS+PFS,OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.,Planchard D et al,2020
NCT02352948,32201234,primary,secondary,OS+PFS,OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.,Planchard D et al (1),2020
NCT02352948,32201234,primary,secondary,OS+PFS,OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.,Planchard D et al (2),2020
NCT03066778,32468956,primary,secondary,OS+PFS,ORR; DOR,Rudin CM et al,2020
NCT02453282,32271377,primary,secondary,OS+PFS,PFS for durvalumab vs. chemotherapy; ORR and DOR in patients with PD-L1 TC ≥25%; safety and tolerability.,Rizvi NA et al,2020
NCT02453282,32271377,primary,secondary,OS+PFS,PFS for durvalumab vs. chemotherapy; ORR and DOR in patients with PD-L1 TC ≥25%; safety and tolerability.,Rizvi NA et al (1),2020
NCT02367794,32302702,primary,secondary,OS+PFS,"ORR, DOR, PFS and OS in PD-L1 subgroups and T-effector population; safety.",Jotte R et al,2020
NCT02367794,32302702,primary,secondary,OS+PFS,"ORR, DOR, PFS and OS in PD-L1 subgroups and T-effector population; safety.",Jotte R et al (1),2020
NCT02574598,32271354,primary,secondary,ORR,"PFS, OS, safety",Arrieta O et al,2020
NCT02142738,27718847,primary,secondary,PFS,"OS, ORR, safety",Reck M et al,2019
NCT02142738,27718847,primary,secondary,PFS,"OS, ORR, safety",Reck M et al,2016
NCT02409342,32997907,primary,secondary,OS,"investigator-assessed PFS, DOR",Herbst RS et al.,2020
NCT03043872,33285097,primary,secondary,OS,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",Paz-Ares L et al,2019
NCT03043872,33285097,primary,secondary,OS,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",Paz-Ares L et al (1),2019
NCT03043872,33285097,primary,secondary,OS,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",Goldman JW et al,2020
NCT03043872,33285097,primary,secondary,OS,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",Goldman JW et al (1),2020
NCT03215706,33476593,primary,secondary,OS,PFS; ORR,Paz-Ares L et al,2021
NCT02481830,33539946,primary,secondary,OS,PFS; ORR; DoR,Spigel DR et al,2021
NCT02538666,33683919,primary,secondary,OS,OS in Arm 2 vs Arm 3; PFS,Owonikoko TK et al,2021
NCT02538666,33683919,primary,secondary,OS,OS in Arm 2 vs Arm 3; PFS,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,secondary,OS,OS in Arm 2 vs Arm 3; PFS,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,secondary,OS,OS in Arm 2 vs Arm 3; PFS,Owonikoko TK et al,2021
NCT03088540,33581821,primary,secondary,OS+PFS,ORR; DoR; HRQOL; safety,Sezer A et al,2021
NCT02852083,33796020,primary,secondary,PFS,OS; DoR; safety; HRQOL,Heudobler D et al,2021
