NCT,PMID,biomarker_name,Trial name,Authors,Year
NCT00094653,20525992,unspecified,MDX010-20,Hodi FS et al,2010
NCT00094653,20525992,unspecified,MDX010-20,Hodi FS et al (1),2010
NCT00094653,20525992,unspecified,MDX010-20,McDermott D et al,2013
NCT00094653,20525992,unspecified,MDX010-20,McDermott D et al (1),2013
NCT02130466,31171878,unspecified,KEYNOTE-022,Ascierto PA et al,2019
NCT02130466,31171878,unspecified,KEYNOTE-022,Ferrucci PF et al,2020
NCT01721772,25399552,unspecified,CheckMate 066,Robert C et al,2015
NCT01721772,25399552,unspecified,CheckMate 066,Ascierto PA et al,2019
NCT01721772,25399552,unspecified,CheckMate 066,Robert C et al,2020
NCT01721772,30422243,unspecified,CheckMate 066,Robert C et al,2015
NCT01721772,30422243,unspecified,CheckMate 066,Ascierto PA et al,2019
NCT01721772,30422243,unspecified,CheckMate 066,Robert C et al,2020
NCT02908672,32534646,unspecified,IMspire150,Gutzmer R et al,2020
NCT00094653,23942774,unspecified,MDX010-20,Hodi FS et al,2010
NCT00094653,23942774,unspecified,MDX010-20,Hodi FS et al (1),2010
NCT00094653,23942774,unspecified,MDX010-20,McDermott D et al,2013
NCT00094653,23942774,unspecified,MDX010-20,McDermott D et al (1),2013
NCT01721772,32997575,unspecified,CheckMate 066,Robert C et al,2015
NCT01721772,32997575,unspecified,CheckMate 066,Ascierto PA et al,2019
NCT01721772,32997575,unspecified,CheckMate 066,Robert C et al,2020
NCT02130466,33361337,unspecified,KEYNOTE-022,Ascierto PA et al,2019
NCT02130466,33361337,unspecified,KEYNOTE-022,Ferrucci PF et al,2020
