NCT,PMID,follow_up_type,Type of follow-up given,Authors,Year
NCT02252042,30509740,unknown,Median,Cohen EEW et al,2018
NCT02105636,27718784,unknown,Median,Ferris RL et al,2016
NCT02105636,27718784,unknown,Median,Ferris RL et al,2018
NCT02105636,29884413,unknown,Minimum,Ferris RL et al,2016
NCT02105636,29884413,unknown,Minimum,Ferris RL et al,2018
NCT02358031,31679945,unknown,Median,Burtness B et al,2019
NCT02358031,31679945,unknown,Median,Burtness B et al (1),2019
NCT02358031,31679945,unknown,Median,Burtness B et al,2019
NCT02358031,31679945,unknown,Median,Burtness B et al (1),2019
NCT02017717,32437507,unknown,Median,Reardon DA et al,2020
NCT02369874,32294530,unknown,Median,Ferris RL et al,2020
NCT02369874,32294530,unknown,Median,Ferris RL et al (1),2020
NCT02369874,32294530,unknown,Median,Ferris RL et al,2020
NCT02369874,32294530,unknown,Median,Ferris RL et al (1),2020
NCT02952586,33794205,unknown,Median,Lee NY et al,2021
