NCT,PMID,cytotoxic_drugs,Control regimen,Authors,Year
NCT01585987,28655793,fluoropyrimidine,Best supportive care (+/-fluoropyrimidine),Bang YJ et al,2017
NCT02267343,28993052,,Placebo,Kang YK et al,2017
NCT02267343,28993052,,Placebo,Chen LT et al,2019
NCT02625623,30052729,"paclitaxel, irinotecan","Best supportive care (+/-paclitaxel, irinotecan)",Bang YJ et al,2018
NCT02370498,29880231,Paclitaxel,Paclitaxel,Shitara K et al,2018
NCT02267343,31863227,,Placebo,Kang YK et al,2017
NCT02267343,31863227,,Placebo,Chen LT et al,2019
NCT02494583,32880601,"Cisplatin, 5-FU, Capecitabine",Placebo+Cisplatin+5-FU+Capecitabine,Shitara K et al,2020
NCT02494583,32880601,"Cisplatin, 5-FU, Capecitabine",Placebo+Cisplatin+5-FU+Capecitabine,Shitara K et al (1),2020
NCT02625610,33197226,"Oxaliplstin, 5-FU, Capecitabine",Oxaliplstin+5-FU+Leucovorin+Capecitabine+Best supportive care,Moehler M et al,2020
