NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT00324155,21639810,active,Chemo,Robert C et al,2011
NCT00094653,20525992,active,Vaccine,Hodi FS et al,2010
NCT00094653,20525992,active,Vaccine,Hodi FS et al (1),2010
NCT00094653,20525992,active,Vaccine,McDermott D et al,2013
NCT00094653,20525992,active,Vaccine,McDermott D et al (1),2013
NCT00094653,20525992,active,Vaccine,Hodi FS et al,2010
NCT00094653,20525992,active,Vaccine,Hodi FS et al (1),2010
NCT00094653,20525992,active,Vaccine,McDermott D et al,2013
NCT00094653,20525992,active,Vaccine,McDermott D et al (1),2013
NCT00257205,23295794,active,Chemo,Ribas A et al,2013
NCT02362594,29658430,placebo,Placebo,Eggermont AMM et al,2018
NCT02362594,29658430,placebo,Placebo,Eggermont AMM et al,2020
NCT00636168,27717298,placebo,Placebo,Eggermont AMM et al,2016
NCT00636168,27717298,placebo,Placebo,Eggermont AMM et al,2015
NCT01721746,25795410,active,Chemo,Weber JS et al,2015
NCT01721746,25795410,active,Chemo,Larkin J et al,2018
NCT01721746,28671856,active,Chemo,Weber JS et al,2015
NCT01721746,28671856,active,Chemo,Larkin J et al,2018
NCT01721772,25399552,active,Chemo,Robert C et al,2015
NCT01721772,25399552,active,Chemo,Ascierto PA et al,2019
NCT01721772,25399552,active,Chemo,Robert C et al,2020
NCT01721772,30422243,active,Chemo,Robert C et al,2015
NCT01721772,30422243,active,Chemo,Ascierto PA et al,2019
NCT01721772,30422243,active,Chemo,Robert C et al,2020
NCT01274338,31880964,active,Interferon,Tarhini AA et al,2020
NCT01274338,31880964,active,Interferon,Tarhini AA et al (1),2020
NCT01274338,31880964,active,Interferon,Tarhini AA et al,2020
NCT01274338,31880964,active,Interferon,Tarhini AA et al (1),2020
NCT02908672,32534646,active,BRAFi+MEKi,Gutzmer R et al,2020
NCT00094653,23942774,active,Vaccine,Hodi FS et al,2010
NCT00094653,23942774,active,Vaccine,Hodi FS et al (1),2010
NCT00094653,23942774,active,Vaccine,McDermott D et al,2013
NCT00094653,23942774,active,Vaccine,McDermott D et al (1),2013
NCT00094653,23942774,active,Vaccine,Hodi FS et al,2010
NCT00094653,23942774,active,Vaccine,Hodi FS et al (1),2010
NCT00094653,23942774,active,Vaccine,McDermott D et al,2013
NCT00094653,23942774,active,Vaccine,McDermott D et al (1),2013
NCT01721772,32997575,active,Chemo,Robert C et al,2015
NCT01721772,32997575,active,Chemo,Ascierto PA et al,2019
NCT01721772,32997575,active,Chemo,Robert C et al,2020
NCT02362594,32946353,placebo,Placebo,Eggermont AMM et al,2018
NCT02362594,32946353,placebo,Placebo,Eggermont AMM et al,2020
NCT00636168,25840693,placebo,Placebo,Eggermont AMM et al,2016
NCT00636168,25840693,placebo,Placebo,Eggermont AMM et al,2015
