NCT,PMID,sample_size_bucket,Total sample size,Authors,Year
NCT01585987,28655793,medium,114,Bang YJ et al,2017
NCT02231749,29562145,large,1096,Motzer RJ et al,2018
NCT02231749,29562145,large,1096,Motzer RJ et al,2019
NCT02231749,29562145,large,1096,Motzer RJ et al,2020
NCT02231749,31427204,large,1096,Motzer RJ et al,2018
NCT02231749,31427204,large,1096,Motzer RJ et al,2019
NCT02231749,31427204,large,1096,Motzer RJ et al,2020
NCT00527735,22547592,medium,204,Lynch TJ et al,2012
NCT00527735,22547592,medium,204,Lynch TJ et al (1),2012
NCT00527735,22547592,medium,204,Reck M et al,2012
NCT00527735,22547592,medium,204,Reck M et al (1),2012
NCT00527735,22547592,medium,204,Lynch TJ et al,2012
NCT00527735,22547592,medium,204,Lynch TJ et al (1),2012
NCT00527735,22547592,medium,204,Reck M et al,2012
NCT00527735,22547592,medium,204,Reck M et al (1),2012
NCT00527735,22858559,medium,130,Lynch TJ et al,2012
NCT00527735,22858559,medium,130,Lynch TJ et al (1),2012
NCT00527735,22858559,medium,130,Reck M et al,2012
NCT00527735,22858559,medium,130,Reck M et al (1),2012
NCT00527735,22858559,medium,130,Lynch TJ et al,2012
NCT00527735,22858559,medium,130,Lynch TJ et al (1),2012
NCT00527735,22858559,medium,130,Reck M et al,2012
NCT00527735,22858559,medium,130,Reck M et al (1),2012
NCT01450761,27458307,large,1132,Reck M et al,2016
NCT01285609,28854067,large,749,Govindan R et al,2017
NCT02477826,29658845,large,1739,Hellmann MD et al,2018
NCT02477826,29658845,large,1739,Hellmann MD et al (1),2018
NCT02477826,29658845,large,1739,Hellmann MD et al,2019
NCT02477826,29658845,large,1739,Hellmann MD et al (1),2019
NCT02477826,29658845,large,1739,Hellmann MD et al (2),2019
NCT02477826,31562796,large,1739,Hellmann MD et al,2018
NCT02477826,31562796,large,1739,Hellmann MD et al (1),2018
NCT02477826,31562796,large,1739,Hellmann MD et al,2019
NCT02477826,31562796,large,1739,Hellmann MD et al (1),2019
NCT02477826,31562796,large,1739,Hellmann MD et al (2),2019
NCT00324155,21639810,large,502,Robert C et al,2011
NCT00094653,20525992,large,676,Hodi FS et al,2010
NCT00094653,20525992,large,676,Hodi FS et al (1),2010
NCT00094653,20525992,large,676,McDermott D et al,2013
NCT00094653,20525992,large,676,McDermott D et al (1),2013
NCT00094653,20525992,large,676,Hodi FS et al,2010
NCT00094653,20525992,large,676,Hodi FS et al (1),2010
NCT00094653,20525992,large,676,McDermott D et al,2013
NCT00094653,20525992,large,676,McDermott D et al (1),2013
NCT00636168,27717298,large,951,Eggermont AMM et al,2016
NCT00636168,27717298,large,951,Eggermont AMM et al,2015
NCT00861614,24831977,large,799,Kwon ED et al,2014
NCT00861614,24831977,large,799,Fizazi K et al.,2020
NCT01057810,28034081,large,602,Beer TM et al,2017
NCT01274338,31880964,large,1670,Tarhini AA et al,2020
NCT01274338,31880964,large,1670,Tarhini AA et al (1),2020
NCT01274338,31880964,large,1670,Tarhini AA et al,2020
NCT01274338,31880964,large,1670,Tarhini AA et al (1),2020
NCT02523313,32416781,medium,167,Zimmer L et al,2020
NCT02523313,32416781,medium,167,Zimmer L et al (1),2020
NCT01896869,32591464,small,83,Wu AA et al,2020
NCT02231749,32661118,large,1096,Motzer RJ et al,2018
NCT02231749,32661118,large,1096,Motzer RJ et al,2019
NCT02231749,32661118,large,1096,Motzer RJ et al,2020
NCT00094653,23942774,large,676,Hodi FS et al,2010
NCT00094653,23942774,large,676,Hodi FS et al (1),2010
NCT00094653,23942774,large,676,McDermott D et al,2013
NCT00094653,23942774,large,676,McDermott D et al (1),2013
NCT00094653,23942774,large,676,Hodi FS et al,2010
NCT00094653,23942774,large,676,Hodi FS et al (1),2010
NCT00094653,23942774,large,676,McDermott D et al,2013
NCT00094653,23942774,large,676,McDermott D et al (1),2013
NCT02899299,33485464,large,605,Baas P et al.,2021
NCT00861614,32811715,large,799,Kwon ED et al,2014
NCT00861614,32811715,large,799,Fizazi K et al.,2020
NCT00636168,25840693,large,951,Eggermont AMM et al,2016
NCT00636168,25840693,large,951,Eggermont AMM et al,2015
NCT03215706,33476593,large,719,Paz-Ares L et al,2021
NCT02538666,33683919,large,834,Owonikoko TK et al,2021
NCT02538666,33683919,large,834,Owonikoko TK et al,2021
