NCT,PMID,is_follow_up,Original publication or Follow-up,Authors,Year
NCT00324155,21639810,False,Original publication,Robert C et al,2011
NCT00094653,20525992,False,Original publication,Hodi FS et al,2010
NCT00094653,20525992,False,Original publication,Hodi FS et al (1),2010
NCT00094653,20525992,False,Original publication,McDermott D et al,2013
NCT00094653,20525992,False,Original publication,McDermott D et al (1),2013
NCT00094653,20525992,False,Original publication,Hodi FS et al,2010
NCT00094653,20525992,False,Original publication,Hodi FS et al (1),2010
NCT00094653,20525992,False,Original publication,McDermott D et al,2013
NCT00094653,20525992,False,Original publication,McDermott D et al (1),2013
NCT00257205,23295794,False,Original publication,Ribas A et al,2013
NCT02362594,29658430,False,Original publication,Eggermont AMM et al,2018
NCT02362594,29658430,False,Original publication,Eggermont AMM et al,2020
NCT01704287,26115796,False,Original publication,Ribas A et al,2015
NCT01704287,26115796,False,Original publication,Ribas A et al (1),2015
NCT01704287,26115796,False,Original publication,Hamid O et al,2017
NCT01704287,26115796,False,Original publication,Hamid O et al (1),2017
NCT01704287,26115796,False,Original publication,Ribas A et al,2015
NCT01704287,26115796,False,Original publication,Ribas A et al (1),2015
NCT01704287,26115796,False,Original publication,Hamid O et al,2017
NCT01704287,26115796,False,Original publication,Hamid O et al (1),2017
NCT01704287,28961465,True,Follow-up,Ribas A et al,2015
NCT01704287,28961465,True,Follow-up,Ribas A et al (1),2015
NCT01704287,28961465,True,Follow-up,Hamid O et al,2017
NCT01704287,28961465,True,Follow-up,Hamid O et al (1),2017
NCT01704287,28961465,True,Follow-up,Ribas A et al,2015
NCT01704287,28961465,True,Follow-up,Ribas A et al (1),2015
NCT01704287,28961465,True,Follow-up,Hamid O et al,2017
NCT01704287,28961465,True,Follow-up,Hamid O et al (1),2017
NCT00636168,27717298,False,Original publication,Eggermont AMM et al,2016
NCT00636168,27717298,False,Original publication,Eggermont AMM et al,2015
NCT01721746,25795410,False,Original publication,Weber JS et al,2015
NCT01721746,25795410,False,Original publication,Larkin J et al,2018
NCT01721746,28671856,True,Follow-up,Weber JS et al,2015
NCT01721746,28671856,True,Follow-up,Larkin J et al,2018
NCT02130466,31171878,False,Original publication,Ascierto PA et al,2019
NCT02130466,31171878,False,Original publication,Ferrucci PF et al,2020
NCT01721772,25399552,False,Original publication,Robert C et al,2015
NCT01721772,25399552,False,Original publication,Ascierto PA et al,2019
NCT01721772,25399552,False,Original publication,Robert C et al,2020
NCT01721772,30422243,True,Follow-up,Robert C et al,2015
NCT01721772,30422243,True,Follow-up,Ascierto PA et al,2019
NCT01721772,30422243,True,Follow-up,Robert C et al,2020
NCT01274338,31880964,False,Original publication,Tarhini AA et al,2020
NCT01274338,31880964,False,Original publication,Tarhini AA et al (1),2020
NCT01274338,31880964,False,Original publication,Tarhini AA et al,2020
NCT01274338,31880964,False,Original publication,Tarhini AA et al (1),2020
NCT02523313,32416781,False,Original publication,Zimmer L et al,2020
NCT02523313,32416781,False,Original publication,Zimmer L et al (1),2020
NCT02523313,32416781,False,Original publication,Zimmer L et al,2020
NCT02523313,32416781,False,Original publication,Zimmer L et al (1),2020
NCT02908672,32534646,False,Original publication,Gutzmer R et al,2020
NCT00094653,23942774,True,Follow-up,Hodi FS et al,2010
NCT00094653,23942774,True,Follow-up,Hodi FS et al (1),2010
NCT00094653,23942774,True,Follow-up,McDermott D et al,2013
NCT00094653,23942774,True,Follow-up,McDermott D et al (1),2013
NCT00094653,23942774,True,Follow-up,Hodi FS et al,2010
NCT00094653,23942774,True,Follow-up,Hodi FS et al (1),2010
NCT00094653,23942774,True,Follow-up,McDermott D et al,2013
NCT00094653,23942774,True,Follow-up,McDermott D et al (1),2013
NCT01721772,32997575,True,Follow-up,Robert C et al,2015
NCT01721772,32997575,True,Follow-up,Ascierto PA et al,2019
NCT01721772,32997575,True,Follow-up,Robert C et al,2020
NCT02130466,33361337,False,Original publication,Ascierto PA et al,2019
NCT02130466,33361337,False,Original publication,Ferrucci PF et al,2020
NCT02362594,32946353,True,Follow-up,Eggermont AMM et al,2018
NCT02362594,32946353,True,Follow-up,Eggermont AMM et al,2020
NCT00636168,25840693,False,Original publication,Eggermont AMM et al,2016
NCT00636168,25840693,False,Original publication,Eggermont AMM et al,2015
