NCT,PMID,combination_type,Type of combination,Authors,Year
NCT01984242,29867230,ICI+Chemo,ICI+Chemo,McDermott DF et al,2018
NCT01984242,29867230,ICI+Chemo,ICI+Chemo,McDermott DF et al (1),2018
NCT02231749,29562145,ICI+ICI,ICI+ICI,Motzer RJ et al,2018
NCT02231749,29562145,ICI+ICI,ICI+ICI,Motzer RJ et al,2019
NCT02231749,29562145,ICI+ICI,ICI+ICI,Motzer RJ et al,2020
NCT02231749,31427204,ICI+ICI,ICI+ICI,Motzer RJ et al,2018
NCT02231749,31427204,ICI+ICI,ICI+ICI,Motzer RJ et al,2019
NCT02231749,31427204,ICI+ICI,ICI+ICI,Motzer RJ et al,2020
NCT02684006,30779531,ICI+TKI,ICI+TKI,Motzer RJ et al,2019
NCT02684006,30779531,ICI+TKI,ICI+TKI,Choueiri TK et al,2020
NCT02853331,30779529,ICI+TKI,ICI+TKI,Rini BI et al,2019
NCT02853331,30779529,ICI+TKI,ICI+TKI,Powles T et al. ,2020
NCT02420821,31079938,OTHER/UNKNOWN,ICI+Anti-VEGF,Rini BI et al,2019
NCT02231749,32661118,ICI+ICI,ICI+ICI,Motzer RJ et al,2018
NCT02231749,32661118,ICI+ICI,ICI+ICI,Motzer RJ et al,2019
NCT02231749,32661118,ICI+ICI,ICI+ICI,Motzer RJ et al,2020
NCT02684006,32339648,ICI+TKI,ICI+TKI,Motzer RJ et al,2019
NCT02684006,32339648,ICI+TKI,ICI+TKI,Choueiri TK et al,2020
NCT02853331,33284113,ICI+TKI,ICI+TKI,Rini BI et al,2019
NCT02853331,33284113,ICI+TKI,ICI+TKI,Powles T et al. ,2020
NCT02811861,33616314,ICI+TKI,ICI+TKI,Motzer R et al,2021
NCT03141177,33657295,ICI+TKI,ICI+TKI,Choueiri TK et al,2021
