NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT02252042,30509740,active,Chemo/Anti-EGFR,Cohen EEW et al,2018
NCT02105636,27718784,active,Chemo/Anti-EGFR,Ferris RL et al,2016
NCT02105636,27718784,active,Chemo/Anti-EGFR,Ferris RL et al,2018
NCT02105636,29884413,active,Chemo/Anti-EGFR,Ferris RL et al,2016
NCT02105636,29884413,active,Chemo/Anti-EGFR,Ferris RL et al,2018
NCT02358031,31679945,active,Chemo+Anti-EGFR,Burtness B et al,2019
NCT02358031,31679945,active,Chemo+Anti-EGFR,Burtness B et al (1),2019
NCT02358031,31679945,active,Chemo+Anti-EGFR,Burtness B et al,2019
NCT02358031,31679945,active,Chemo+Anti-EGFR,Burtness B et al (1),2019
NCT02017717,32437507,active,Anti-VEGF,Reardon DA et al,2020
NCT02369874,32294530,active,Chemo+Anti-EGFR,Ferris RL et al,2020
NCT02369874,32294530,active,Chemo+Anti-EGFR,Ferris RL et al (1),2020
NCT02369874,32294530,active,Chemo+Anti-EGFR,Ferris RL et al,2020
NCT02369874,32294530,active,Chemo+Anti-EGFR,Ferris RL et al (1),2020
NCT02952586,33794205,active,Chemoradio,Lee NY et al,2021
NCT02999087,33125944,active,Chemo/Anti-EGFR+Radiotherapy,Tao Y et al.,2021
