NCT,PMID,arm_category,Number of arms,Authors,Year
NCT02252042,30509740,2-arm,2,Cohen EEW et al,2018
NCT02105636,27718784,2-arm,2,Ferris RL et al,2016
NCT02105636,27718784,2-arm,2,Ferris RL et al,2018
NCT02105636,29884413,2-arm,2,Ferris RL et al,2016
NCT02105636,29884413,2-arm,2,Ferris RL et al,2018
NCT02358031,31679945,>=3-arm,3,Burtness B et al,2019
NCT02358031,31679945,>=3-arm,3,Burtness B et al (1),2019
NCT02358031,31679945,>=3-arm,3,Burtness B et al,2019
NCT02358031,31679945,>=3-arm,3,Burtness B et al (1),2019
NCT02017717,32437507,2-arm,2,Reardon DA et al,2020
NCT02369874,32294530,>=3-arm,3,Ferris RL et al,2020
NCT02369874,32294530,>=3-arm,3,Ferris RL et al (1),2020
NCT02369874,32294530,>=3-arm,3,Ferris RL et al,2020
NCT02369874,32294530,>=3-arm,3,Ferris RL et al (1),2020
NCT02952586,33794205,2-arm,2,Lee NY et al,2021
NCT02999087,33125944,2-arm,2,Tao Y et al.,2021
