NCT,PMID,combination_type,Type of combination,Authors,Year
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al,2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al (1),2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Reck M et al,2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Reck M et al (1),2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al,2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al (1),2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Reck M et al,2012
NCT00527735,22547592,ICI+Chemo,ICI+Chemo,Reck M et al (1),2012
NCT01285609,28854067,ICI+Chemo,ICI+Chemo,Govindan R et al,2017
NCT02039674,27745820,ICI+Chemo,ICI+Chemo,Langer JC et al,2016
NCT02039674,27745820,ICI+Chemo,ICI+Chemo,Borghaei  H et al,2018
NCT02039674,30138764,ICI+Chemo,ICI+Chemo,Langer JC et al,2016
NCT02039674,30138764,ICI+Chemo,ICI+Chemo,Borghaei  H et al,2018
NCT02578680,29658856,ICI+Chemo,ICI+Chemo,Gandhi L et al,2018
NCT02775435,30280635,ICI+Chemo,ICI+Chemo,Paz-Ares L et al,2018
NCT02366143,29863955,ICI+Chemo,ICI+Chemo,Socinski MA et al,2018
NCT02366143,29863955,ICI+Chemo,ICI+Chemo,Socinski MA et al (1),2018
NCT02366143,29863955,ICI+Chemo,ICI+Chemo,Socinski MA et al,2018
NCT02366143,29863955,ICI+Chemo,ICI+Chemo,Socinski MA et al (1),2018
NCT02477826,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al,2018
NCT02477826,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2018
NCT02477826,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al,2019
NCT02477826,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2019
NCT02477826,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al (2),2019
NCT02477826,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al,2018
NCT02477826,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2018
NCT02477826,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al,2019
NCT02477826,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2019
NCT02477826,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al (2),2019
NCT02477826,31562796,ICI+Chemo,ICI+ICI,Hellmann MD et al,2018
NCT02477826,31562796,ICI+Chemo,ICI+ICI,Hellmann MD et al (1),2018
NCT02477826,31562796,ICI+Chemo,ICI+ICI,Hellmann MD et al,2019
NCT02477826,31562796,ICI+Chemo,ICI+ICI,Hellmann MD et al (1),2019
NCT02477826,31562796,ICI+Chemo,ICI+ICI,Hellmann MD et al (2),2019
NCT02367781,31122901,ICI+Chemo,ICI+Chemo,West H et al,2019
NCT02454933,30763730,ICI+TKI,ICI+TKI,Yang JCH et al,2019
NCT02352948,32201234,ICI+ICI,ICI+ICI,Planchard D et al,2020
NCT02352948,32201234,ICI+ICI,ICI+ICI,Planchard D et al (1),2020
NCT02352948,32201234,ICI+ICI,ICI+ICI,Planchard D et al (2),2020
NCT02453282,32271377,ICI+ICI,ICI+ICI,Rizvi NA et al,2020
NCT02453282,32271377,ICI+ICI,ICI+ICI,Rizvi NA et al (1),2020
NCT02367794,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al,2020
NCT02367794,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al (1),2020
NCT02367794,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al,2020
NCT02367794,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al (1),2020
NCT02574598,32271354,ICI+Chemo,ICI+Chemo,Arrieta O et al,2020
NCT03215706,33476593,ICI+Chemo,ICI+ICI+Chemo,Paz-Ares L et al,2021
