NCT,PMID,trial_phase_bucket,Trial phase,Authors,Year
NCT01585987,28655793,early,Phase 2,Bang YJ et al,2017
NCT02231749,29562145,late,Phase 3,Motzer RJ et al,2018
NCT02231749,29562145,late,Phase 3,Motzer RJ et al,2019
NCT02231749,29562145,late,Phase 3,Motzer RJ et al,2020
NCT02231749,31427204,late,Phase 3,Motzer RJ et al,2018
NCT02231749,31427204,late,Phase 3,Motzer RJ et al,2019
NCT02231749,31427204,late,Phase 3,Motzer RJ et al,2020
NCT00527735,22547592,early,Phase 2,Lynch TJ et al,2012
NCT00527735,22547592,early,Phase 2,Lynch TJ et al (1),2012
NCT00527735,22547592,early,Phase 2,Reck M et al,2012
NCT00527735,22547592,early,Phase 2,Reck M et al (1),2012
NCT00527735,22547592,early,Phase 2,Lynch TJ et al,2012
NCT00527735,22547592,early,Phase 2,Lynch TJ et al (1),2012
NCT00527735,22547592,early,Phase 2,Reck M et al,2012
NCT00527735,22547592,early,Phase 2,Reck M et al (1),2012
NCT00527735,22858559,early,Phase 2,Lynch TJ et al,2012
NCT00527735,22858559,early,Phase 2,Lynch TJ et al (1),2012
NCT00527735,22858559,early,Phase 2,Reck M et al,2012
NCT00527735,22858559,early,Phase 2,Reck M et al (1),2012
NCT00527735,22858559,early,Phase 2,Lynch TJ et al,2012
NCT00527735,22858559,early,Phase 2,Lynch TJ et al (1),2012
NCT00527735,22858559,early,Phase 2,Reck M et al,2012
NCT00527735,22858559,early,Phase 2,Reck M et al (1),2012
NCT01450761,27458307,late,Phase 3,Reck M et al,2016
NCT01285609,28854067,late,Phase 3,Govindan R et al,2017
NCT02477826,29658845,late,Phase 3,Hellmann MD et al,2018
NCT02477826,29658845,late,Phase 3,Hellmann MD et al (1),2018
NCT02477826,29658845,late,Phase 3,Hellmann MD et al,2019
NCT02477826,29658845,late,Phase 3,Hellmann MD et al (1),2019
NCT02477826,29658845,late,Phase 3,Hellmann MD et al (2),2019
NCT02477826,31562796,late,Phase 3,Hellmann MD et al,2018
NCT02477826,31562796,late,Phase 3,Hellmann MD et al (1),2018
NCT02477826,31562796,late,Phase 3,Hellmann MD et al,2019
NCT02477826,31562796,late,Phase 3,Hellmann MD et al (1),2019
NCT02477826,31562796,late,Phase 3,Hellmann MD et al (2),2019
NCT00324155,21639810,late,Phase 3,Robert C et al,2011
NCT00094653,20525992,late,Phase 3,Hodi FS et al,2010
NCT00094653,20525992,late,Phase 3,Hodi FS et al (1),2010
NCT00094653,20525992,late,Phase 3,McDermott D et al,2013
NCT00094653,20525992,late,Phase 3,McDermott D et al (1),2013
NCT00094653,20525992,late,Phase 3,Hodi FS et al,2010
NCT00094653,20525992,late,Phase 3,Hodi FS et al (1),2010
NCT00094653,20525992,late,Phase 3,McDermott D et al,2013
NCT00094653,20525992,late,Phase 3,McDermott D et al (1),2013
NCT00636168,27717298,late,Phase 3,Eggermont AMM et al,2016
NCT00636168,27717298,late,Phase 3,Eggermont AMM et al,2015
NCT00861614,24831977,late,Phase 3,Kwon ED et al,2014
NCT00861614,24831977,late,Phase 3,Fizazi K et al.,2020
NCT01057810,28034081,late,Phase 3,Beer TM et al,2017
NCT01274338,31880964,late,Phase 3,Tarhini AA et al,2020
NCT01274338,31880964,late,Phase 3,Tarhini AA et al (1),2020
NCT01274338,31880964,late,Phase 3,Tarhini AA et al,2020
NCT01274338,31880964,late,Phase 3,Tarhini AA et al (1),2020
NCT02523313,32416781,early,Phase 2,Zimmer L et al,2020
NCT02523313,32416781,early,Phase 2,Zimmer L et al (1),2020
NCT01896869,32591464,early,Phase 2,Wu AA et al,2020
NCT02231749,32661118,late,Phase 3,Motzer RJ et al,2018
NCT02231749,32661118,late,Phase 3,Motzer RJ et al,2019
NCT02231749,32661118,late,Phase 3,Motzer RJ et al,2020
NCT00094653,23942774,late,Phase 3,Hodi FS et al,2010
NCT00094653,23942774,late,Phase 3,Hodi FS et al (1),2010
NCT00094653,23942774,late,Phase 3,McDermott D et al,2013
NCT00094653,23942774,late,Phase 3,McDermott D et al (1),2013
NCT00094653,23942774,late,Phase 3,Hodi FS et al,2010
NCT00094653,23942774,late,Phase 3,Hodi FS et al (1),2010
NCT00094653,23942774,late,Phase 3,McDermott D et al,2013
NCT00094653,23942774,late,Phase 3,McDermott D et al (1),2013
NCT02899299,33485464,late,Phase 3,Baas P et al.,2021
NCT00861614,32811715,late,Phase 3,Kwon ED et al,2014
NCT00861614,32811715,late,Phase 3,Fizazi K et al.,2020
NCT00636168,25840693,late,Phase 3,Eggermont AMM et al,2016
NCT00636168,25840693,late,Phase 3,Eggermont AMM et al,2015
NCT03215706,33476593,late,Phase 3,Paz-Ares L et al,2021
NCT02538666,33683919,late,Phase 3,Owonikoko TK et al,2021
NCT02538666,33683919,late,Phase 3,Owonikoko TK et al,2021
