NCT,PMID,trial_phase_bucket,Trial phase,Authors,Year
NCT02685059,31095287,early,Phase 2,Loibl S et al,2019
NCT02125461,28885881,late,Phase 3,Antonia SJ et al,2017
NCT02125461,28885881,late,Phase 3,Antonia SJ et al,2018
NCT02125461,30280658,late,Phase 3,Antonia SJ et al,2017
NCT02125461,30280658,late,Phase 3,Antonia SJ et al,2018
NCT02454933,30763730,late,Phase 3,Yang JCH et al,2019
NCT03043872,31590988,late,Phase 3,Paz-Ares L et al,2019
NCT03043872,31590988,late,Phase 3,Paz-Ares L et al (1),2019
NCT03043872,31590988,late,Phase 3,Goldman JW et al,2020
NCT03043872,31590988,late,Phase 3,Goldman JW et al (1),2020
NCT03043872,31590988,late,Phase 3,Paz-Ares L et al,2019
NCT03043872,31590988,late,Phase 3,Paz-Ares L et al (1),2019
NCT03043872,31590988,late,Phase 3,Goldman JW et al,2020
NCT03043872,31590988,late,Phase 3,Goldman JW et al (1),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al,2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (1),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (2),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al,2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (1),2020
NCT02352948,32201234,late,Phase 3,Planchard D et al (2),2020
NCT02453282,32271377,late,Phase 3,Rizvi NA et al,2020
NCT02453282,32271377,late,Phase 3,Rizvi NA et al (1),2020
NCT02453282,32271377,late,Phase 3,Rizvi NA et al,2020
NCT02453282,32271377,late,Phase 3,Rizvi NA et al (1),2020
NCT02369874,32294530,late,Phase 3,Ferris RL et al,2020
NCT02369874,32294530,late,Phase 3,Ferris RL et al (1),2020
NCT02369874,32294530,late,Phase 3,Ferris RL et al,2020
NCT02369874,32294530,late,Phase 3,Ferris RL et al (1),2020
NCT02870920,32379280,early,Phase 2,Chen EX et al,2020
NCT02516241,32971005,late,Phase 3,Powles T et al,2020
NCT02516241,32971005,late,Phase 3,Powles T et al (1),2020
NCT02516241,32971005,late,Phase 3,Powles T et al,2020
NCT02516241,32971005,late,Phase 3,Powles T et al (1),2020
NCT03043872,33285097,late,Phase 3,Paz-Ares L et al,2019
NCT03043872,33285097,late,Phase 3,Paz-Ares L et al (1),2019
NCT03043872,33285097,late,Phase 3,Goldman JW et al,2020
NCT03043872,33285097,late,Phase 3,Goldman JW et al (1),2020
NCT03043872,33285097,late,Phase 3,Paz-Ares L et al,2019
NCT03043872,33285097,late,Phase 3,Paz-Ares L et al (1),2019
NCT03043872,33285097,late,Phase 3,Goldman JW et al,2020
NCT03043872,33285097,late,Phase 3,Goldman JW et al (1),2020
NCT02299999,33462450,early,Phase 2,Bachelot T et al,2021
