NCT,PMID,endpoint_text,endpoint_type,Primary endpoint,Secondary endpoint,Authors,Year
NCT01585987,28655793,PFS,primary,PFS,"PFS by mWHO criteria, OS, immune-related best overall response rate (irBORR)",Bang YJ et al,2017
NCT02267343,28993052,OS,primary,OS,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",Kang YK et al,2017
NCT02267343,28993052,OS,primary,OS,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",Chen LT et al,2019
NCT02625623,30052729,OS,primary,OS,"PFS, ORR per independent review committee assessment, safety, tolerability",Bang YJ et al,2018
NCT02370498,29880231,OS+PFS,primary,OS+PFS,"ORR, DoR, in patients with PD-L1 CPS of 1 or higher and in the total population; PFS, OS in the total population; PFS in the population with CPS of 1 or higher and in the total population; and time to progression in the population with CPS of 1 or higher and in the total population; safety",Shitara K et al,2018
NCT02267343,31863227,OS,primary,OS,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",Kang YK et al,2017
NCT02267343,31863227,OS,primary,OS,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",Chen LT et al,2019
NCT02569242,31582355,OS,primary,OS,"investigator-assessed objective response, best overall response; progression-free survival;the proportion of patients with disease control; maximum percentage change from baseline in the sum of the diameters of target lesions; time to response; and duration of response",Kato K et al,2019
NCT02494583,32880601,OS+PFS,primary,OS+PFS,"ORR, DoR, safety, tolerability, HRQOL",Shitara K et al,2020
NCT02494583,32880601,OS+PFS,primary,OS+PFS,"ORR, DoR, safety, tolerability, HRQOL",Shitara K et al (1),2020
NCT02494583,32880601,OS+PFS,primary,OS+PFS,"ORR, DoR, safety, tolerability, HRQOL",Shitara K et al,2020
NCT02494583,32880601,OS+PFS,primary,OS+PFS,"ORR, DoR, safety, tolerability, HRQOL",Shitara K et al (1),2020
NCT02625610,33197226,OS,primary,OS,"PFS, best overall response, DOR, safety",Moehler M et al,2020
NCT02564263,33026938,OS,primary,OS,"PFS, ORR, safety, tolerability",Kojima T et al.,2020
