NCT,PMID,primary_endpoint_flag,secondary_endpoint_flag,Primary endpoint,Secondary endpoint,Authors,Year
NCT00324155,21639810,yes,yes,OS,"PFS, best ORR, DCR, time to response, DOR, safety",Robert C et al,2011
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Hodi FS et al,2010
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Hodi FS et al (1),2010
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,McDermott D et al,2013
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,McDermott D et al (1),2013
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Hodi FS et al,2010
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Hodi FS et al (1),2010
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,McDermott D et al,2013
NCT00094653,20525992,yes,yes,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,McDermott D et al (1),2013
NCT00257205,23295794,yes,yes,OS,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.,Ribas A et al,2013
NCT02362594,29658430,yes,yes,PFS,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.,Eggermont AMM et al,2018
NCT02362594,29658430,yes,yes,PFS,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.,Eggermont AMM et al,2020
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Ribas A et al,2015
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Ribas A et al (1),2015
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Hamid O et al,2017
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Hamid O et al (1),2017
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Ribas A et al,2015
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Ribas A et al (1),2015
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Hamid O et al,2017
NCT01704287,26115796,yes,yes,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Hamid O et al (1),2017
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Ribas A et al,2015
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Ribas A et al (1),2015
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Hamid O et al,2017
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Hamid O et al (1),2017
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Ribas A et al,2015
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Ribas A et al (1),2015
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Hamid O et al,2017
NCT01704287,28961465,yes,yes,OS+PFS,ORR; response duration; safety.,Hamid O et al (1),2017
NCT00636168,27717298,yes,yes,PFS,OS; distant metastasis–free survival; safety; health-related quality of life.,Eggermont AMM et al,2016
NCT00636168,27717298,yes,yes,PFS,OS; distant metastasis–free survival; safety; health-related quality of life.,Eggermont AMM et al,2015
NCT01721746,25795410,yes,yes,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Weber JS et al,2015
NCT01721746,25795410,yes,yes,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Larkin J et al,2018
NCT01721746,28671856,yes,yes,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Weber JS et al,2015
NCT01721746,28671856,yes,yes,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Larkin J et al,2018
NCT02130466,31171878,yes,yes,PFS,ORR; duration of response; time to response; OS.,Ascierto PA et al,2019
NCT02130466,31171878,yes,yes,PFS,ORR; duration of response; time to response; OS.,Ferrucci PF et al,2020
NCT01721772,25399552,yes,yes,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Robert C et al,2015
NCT01721772,25399552,yes,yes,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Ascierto PA et al,2019
NCT01721772,25399552,yes,yes,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Robert C et al,2020
NCT01721772,30422243,yes,yes,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Robert C et al,2015
NCT01721772,30422243,yes,yes,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Ascierto PA et al,2019
NCT01721772,30422243,yes,yes,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Robert C et al,2020
NCT01274338,31880964,yes,yes,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",Tarhini AA et al,2020
NCT01274338,31880964,yes,yes,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",Tarhini AA et al (1),2020
NCT01274338,31880964,yes,yes,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",Tarhini AA et al,2020
NCT01274338,31880964,yes,yes,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",Tarhini AA et al (1),2020
NCT02523313,32416781,yes,yes,RFS,OS; time to recurrence; safety; PFS or RFS 2.,Zimmer L et al,2020
NCT02523313,32416781,yes,yes,RFS,OS; time to recurrence; safety; PFS or RFS 2.,Zimmer L et al (1),2020
NCT02523313,32416781,yes,yes,RFS,OS; time to recurrence; safety; PFS or RFS 2.,Zimmer L et al,2020
NCT02523313,32416781,yes,yes,RFS,OS; time to recurrence; safety; PFS or RFS 2.,Zimmer L et al (1),2020
NCT02908672,32534646,yes,yes,PFS,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.,Gutzmer R et al,2020
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",Hodi FS et al,2010
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",Hodi FS et al (1),2010
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",McDermott D et al,2013
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",McDermott D et al (1),2013
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",Hodi FS et al,2010
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",Hodi FS et al (1),2010
NCT00094653,23942774,yes,yes,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",McDermott D et al,2013
