NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT01673867,26412456,active,Chemo,Borghaei  H et al,2015
NCT01642004,26028407,active,Chemo,Brahmer J et al,2015
NCT01450761,27458307,active,Chemo,Reck M et al,2016
NCT02041533,28636851,active,Chemo,Carbone DP et al,2017
NCT01285609,28854067,active,Chemo,Govindan R et al,2017
NCT02125461,28885881,placebo,Placebo  ,Antonia SJ et al,2017
NCT02125461,28885881,placebo,Placebo  ,Antonia SJ et al,2018
NCT02125461,30280658,placebo,Placebo  ,Antonia SJ et al,2017
NCT02125461,30280658,placebo,Placebo  ,Antonia SJ et al,2018
NCT02395172,30262187,active,Chemo,Barlesi F et al,2018
NCT02008227,27979383,active,Chemo,Rittmeyer A et al,2017
NCT02008227,27979383,active,Chemo,Fehrenbacher L et al,2018
NCT02008227,27979383,active,Chemo,Mazieres J et al,2020
NCT02008227,29777823,active,Chemo,Rittmeyer A et al,2017
NCT02008227,29777823,active,Chemo,Fehrenbacher L et al,2018
NCT02008227,29777823,active,Chemo,Mazieres J et al,2020
NCT02578680,29658856,active,Chemo,Gandhi L et al,2018
NCT02763579,30280641,placebo,Placebo,Horn L et al,2018
NCT02763579,30280641,placebo,Placebo,Mansfield AS et al,2020
NCT02775435,30280635,active,Chemo,Paz-Ares L et al,2018
NCT02366143,29863955,active,Chemo+Anti-VEGF,Socinski MA et al,2018
NCT02366143,29863955,active,Chemo+Anti-VEGF,Socinski MA et al (1),2018
NCT02366143,29863955,active,Chemo+Anti-VEGF,Socinski MA et al,2018
NCT02366143,29863955,active,Chemo+Anti-VEGF,Socinski MA et al (1),2018
NCT02477826,29658845,active,Chemo,Hellmann MD et al,2018
NCT02477826,29658845,active,Chemo,Hellmann MD et al (1),2018
NCT02477826,29658845,active,Chemo,Hellmann MD et al,2019
NCT02477826,29658845,active,Chemo,Hellmann MD et al (1),2019
NCT02477826,29658845,active,Chemo,Hellmann MD et al (2),2019
NCT02477826,29658845,active,Chemo,Hellmann MD et al,2018
NCT02477826,29658845,active,Chemo,Hellmann MD et al (1),2018
NCT02477826,29658845,active,Chemo,Hellmann MD et al,2019
NCT02477826,29658845,active,Chemo,Hellmann MD et al (1),2019
NCT02477826,29658845,active,Chemo,Hellmann MD et al (2),2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al,2018
NCT02477826,31562796,active,Chemo,Hellmann MD et al (1),2018
NCT02477826,31562796,active,Chemo,Hellmann MD et al,2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al (1),2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al (2),2019
