NCT,PMID,year_bucket,Year,Authors
NCT02302807,29268948,2015-2018,2018,Powles T et al
NCT02425891,30345906,2015-2018,2018,Schmid P et al
NCT02425891,30345906,2015-2018,2018,Schmid P et al
NCT02788279,31003911,>=2019,2019,Eng C et al
NCT02788279,31003911,>=2019,2019,Eng C et al (1)
NCT02788279,31003911,>=2019,2019,Eng C et al
NCT02788279,31003911,>=2019,2019,Eng C et al (1)
NCT01984242,29867230,2015-2018,2018,McDermott DF et al
NCT01984242,29867230,2015-2018,2018,McDermott DF et al (1)
NCT01984242,29867230,2015-2018,2018,McDermott DF et al
NCT01984242,29867230,2015-2018,2018,McDermott DF et al (1)
NCT02420821,31079938,>=2019,2019,Rini BI et al
NCT01903993,26970723,2015-2018,2016,Fehrenbacher L et al
NCT01903993,26970723,2015-2018,2016,Mazieres J et al
NCT02395172,30262187,2015-2018,2018,Barlesi F et al
NCT02008227,27979383,2015-2018,2017,Rittmeyer A et al
NCT02008227,27979383,2015-2018,2017,Fehrenbacher L et al
NCT02008227,27979383,2015-2018,2017,Mazieres J et al
NCT02008227,29777823,2015-2018,2018,Rittmeyer A et al
NCT02008227,29777823,2015-2018,2018,Fehrenbacher L et al
NCT02008227,29777823,2015-2018,2018,Mazieres J et al
NCT02763579,30280641,2015-2018,2018,Horn L et al
NCT02763579,30280641,2015-2018,2018,Mansfield AS et al
NCT02366143,29863955,2015-2018,2018,Socinski MA et al
NCT02366143,29863955,2015-2018,2018,Socinski MA et al (1)
NCT02366143,29863955,2015-2018,2018,Socinski MA et al
NCT02366143,29863955,2015-2018,2018,Socinski MA et al (1)
NCT03059667,30664989,>=2019,2019,Pujol JL et al
NCT02367781,31122901,>=2019,2019,West H et al
NCT02425891,31786121,>=2019,2019,Schmid P et al
NCT02425891,31786121,>=2019,2019,Schmid P et al
NCT02763579,31959349,>=2019,2020,Horn L et al
NCT02763579,31959349,>=2019,2020,Mansfield AS et al
NCT02367794,32302702,>=2019,2020,Jotte R et al
NCT02367794,32302702,>=2019,2020,Jotte R et al (1)
NCT02367794,32302702,>=2019,2020,Jotte R et al
NCT02367794,32302702,>=2019,2020,Jotte R et al (1)
NCT02908672,32534646,>=2019,2020,Gutzmer R et al
NCT02807636,32416780,>=2019,2020,Galsky MD et al
NCT02807636,32416780,>=2019,2020,Galsky MD et al (1)
NCT02807636,32416780,>=2019,2020,Galsky MD et al
NCT02807636,32416780,>=2019,2020,Galsky MD et al (1)
NCT03434379,32402160,>=2019,2020,Finn RS et al
NCT03197935,32966830,>=2019,2020,Mittendorf EA et al
NCT02409342,32997907,>=2019,2020,Herbst RS et al.
NCT02924883,33002436,>=2019,2020,Emens LA et al
NCT02657434,33333328,>=2019,2020,Nishio M et al
NCT01903993,33166718,>=2019,2020,Fehrenbacher L et al
NCT01903993,33166718,>=2019,2020,Mazieres J et al
NCT02008227,33166718,>=2019,2020,Rittmeyer A et al
NCT02008227,33166718,>=2019,2020,Fehrenbacher L et al
NCT02008227,33166718,>=2019,2020,Mazieres J et al
NCT02450331,33721560,>=2019,2021,Bellmunt J et al
