NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT01668784,26406148,active,mTOR inhibitor,Motzer RJ et al,2015
NCT01668784,26406148,active,mTOR inhibitor,Motzer RJ et al,2020
NCT02231749,29562145,active,TKI,Motzer RJ et al,2018
NCT02231749,29562145,active,TKI,Motzer RJ et al,2019
NCT02231749,29562145,active,TKI,Motzer RJ et al,2020
NCT02231749,31427204,active,TKI,Motzer RJ et al,2018
NCT02231749,31427204,active,TKI,Motzer RJ et al,2019
NCT02231749,31427204,active,TKI,Motzer RJ et al,2020
NCT02684006,30779531,active,TKI,Motzer RJ et al,2019
NCT02684006,30779531,active,TKI,Choueiri TK et al,2020
NCT02853331,30779529,active,TKI,Rini BI et al,2019
NCT02853331,30779529,active,TKI,Powles T et al. ,2020
NCT02420821,31079938,active,TKI,Rini BI et al,2019
NCT02231749,32661118,active,TKI,Motzer RJ et al,2018
NCT02231749,32661118,active,TKI,Motzer RJ et al,2019
NCT02231749,32661118,active,TKI,Motzer RJ et al,2020
NCT01668784,32673417,active,mTOR inhibitor,Motzer RJ et al,2015
NCT01668784,32673417,active,mTOR inhibitor,Motzer RJ et al,2020
NCT02684006,32339648,active,TKI,Motzer RJ et al,2019
NCT02684006,32339648,active,TKI,Choueiri TK et al,2020
NCT02853331,33284113,active,TKI,Rini BI et al,2019
NCT02853331,33284113,active,TKI,Powles T et al. ,2020
NCT02811861,33616314,active,TKI,Motzer R et al,2021
NCT03141177,33657295,active,TKI,Choueiri TK et al,2021
