NCT,PMID,follow_up_type,Type of follow-up given,Authors,Year
NCT02267343,28993052,unknown,Median,Kang YK et al,2017
NCT02267343,28993052,unknown,Median,Chen LT et al,2019
NCT02625623,30052729,unknown,Median,Bang YJ et al,2018
NCT02370498,29880231,unknown,Median,Shitara K et al,2018
NCT02267343,31863227,unknown,Median,Kang YK et al,2017
NCT02267343,31863227,unknown,Median,Chen LT et al,2019
NCT02569242,31582355,unknown,Median,Kato K et al,2019
NCT02494583,32880601,unknown,Median,Shitara K et al,2020
NCT02494583,32880601,unknown,Median,Shitara K et al (1),2020
NCT02494583,32880601,unknown,Median,Shitara K et al,2020
NCT02494583,32880601,unknown,Median,Shitara K et al (1),2020
NCT02625610,33197226,unknown,Median,Moehler M et al,2020
NCT02564263,33026938,unknown,Median,Kojima T et al.,2020
