NCT,PMID,primary_endpoint_category,Primary endpoint,Authors,Year
NCT01704287,26115796,Other,OS+PFS,Ribas A et al,2015
NCT01704287,26115796,Other,OS+PFS,Ribas A et al (1),2015
NCT01704287,26115796,Other,OS+PFS,Hamid O et al,2017
NCT01704287,26115796,Other,OS+PFS,Hamid O et al (1),2017
NCT01704287,26115796,OS,OS+PFS,Ribas A et al,2015
NCT01704287,26115796,OS,OS+PFS,Ribas A et al (1),2015
NCT01704287,26115796,OS,OS+PFS,Hamid O et al,2017
NCT01704287,26115796,OS,OS+PFS,Hamid O et al (1),2017
NCT01704287,28961465,OS,OS+PFS,Ribas A et al,2015
NCT01704287,28961465,OS,OS+PFS,Ribas A et al (1),2015
NCT01704287,28961465,OS,OS+PFS,Hamid O et al,2017
NCT01704287,28961465,OS,OS+PFS,Hamid O et al (1),2017
NCT01704287,28961465,OS,OS+PFS,Ribas A et al,2015
NCT01704287,28961465,OS,OS+PFS,Ribas A et al (1),2015
NCT01704287,28961465,OS,OS+PFS,Hamid O et al,2017
NCT01704287,28961465,OS,OS+PFS,Hamid O et al (1),2017
NCT02130466,31171878,PFS,PFS,Ascierto PA et al,2019
NCT02130466,31171878,PFS,PFS,Ferrucci PF et al,2020
NCT02523313,32416781,DFS,RFS,Zimmer L et al,2020
NCT02523313,32416781,DFS,RFS,Zimmer L et al (1),2020
NCT02523313,32416781,DFS,RFS,Zimmer L et al,2020
NCT02523313,32416781,DFS,RFS,Zimmer L et al (1),2020
NCT02130466,33361337,PFS,PFS,Ascierto PA et al,2019
NCT02130466,33361337,PFS,PFS,Ferrucci PF et al,2020
