NCT,PMID,combination_type,Type of combination,Authors,Year
NCT00324155,21639810,ICI+Chemo,ICI+Chemo,Robert C et al,2011
NCT00094653,20525992,ICI+Other,ICI+Vaccine,Hodi FS et al,2010
NCT00094653,20525992,ICI+Other,ICI+Vaccine,Hodi FS et al (1),2010
NCT00094653,20525992,ICI+Other,ICI+Vaccine,McDermott D et al,2013
NCT00094653,20525992,ICI+Other,ICI+Vaccine,McDermott D et al (1),2013
NCT02130466,31171878,Other,ICI+BRAFi+MEKi,Ascierto PA et al,2019
NCT02130466,31171878,Other,ICI+BRAFi+MEKi,Ferrucci PF et al,2020
NCT02523313,32416781,ICI+ICI,ICI+ICI,Zimmer L et al,2020
NCT02523313,32416781,ICI+ICI,ICI+ICI,Zimmer L et al (1),2020
NCT02908672,32534646,ICI+Other,ICI+BRAFi+MEKi,Gutzmer R et al,2020
NCT00094653,23942774,ICI+Other,ICI+Vaccine,Hodi FS et al,2010
NCT00094653,23942774,ICI+Other,ICI+Vaccine,Hodi FS et al (1),2010
NCT00094653,23942774,ICI+Other,ICI+Vaccine,McDermott D et al,2013
NCT00094653,23942774,ICI+Other,ICI+Vaccine,McDermott D et al (1),2013
NCT02130466,33361337,ICI+Other,ICI+BRAFi+MEKi,Ascierto PA et al,2019
NCT02130466,33361337,ICI+Other,ICI+BRAFi+MEKi,Ferrucci PF et al,2020
