NCT,PMID,tki_agent,Treatment regimen,Authors,Year
NCT02684006,30779531,Axitinib,Avelumab+Axitinib,Motzer RJ et al,2019
NCT02684006,30779531,Axitinib,Avelumab+Axitinib,Choueiri TK et al,2020
NCT02853331,30779529,Axitinib,Pembrolizumab+Axitinib,Rini BI et al,2019
NCT02853331,30779529,Axitinib,Pembrolizumab+Axitinib,Powles T et al. ,2020
NCT02684006,32339648,Axitinib,Avelumab+Axitinib,Motzer RJ et al,2019
NCT02684006,32339648,Axitinib,Avelumab+Axitinib,Choueiri TK et al,2020
NCT02853331,33284113,Axitinib,Pembrolizumab+Axitinib,Rini BI et al,2019
NCT02853331,33284113,Axitinib,Pembrolizumab+Axitinib,Powles T et al. ,2020
NCT02811861,33616314,Lenvatinib,Pembrolizumab+Lenvatinib,Motzer R et al,2021
NCT03141177,33657295,Cabozantinib,Nivolumab+Cabozantinib,Choueiri TK et al,2021
