NCT,Author,Year_x,PMID_x,Type of follow-up given,followup_type,Authors,Year_y,PMID_y
NCT02555657,Winer PE et al,2021,33676601,Median,clinical,Winer PE et al,2021,33676601
NCT02299999,Bachelot T et al,2021,33462450,Median,clinical,Bachelot T et al,2021,33462450
NCT02924883,Emens LA et al,2020,33002436,Median,clinical,Emens LA et al,2020,33002436
NCT03197935,Mittendorf EA et al,2020,32966830,Median,clinical,Mittendorf EA et al,2020,32966830
NCT02819518,Cortes J et al,2020,33278935,Median,clinical,Cortes J et al,2020,33278935
NCT03051659,Tolaney SM et al,2020,32880602,Median,clinical,Tolaney SM et al,2020,32880602
NCT03036488,Schmid P et al,2020,32101663,Median,clinical,Schmid P et al,2020,32101663
NCT02425891,Schmid P et al,2019,31786121,Median,clinical,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2019,31786121,Median,clinical,Schmid P et al,2019,31786121
NCT01042379,Nanda R et al,2019,32053137,Median,clinical,Nanda R et al,2019,32053137
NCT02425891,Schmid P et al,2018,30345906,Median,clinical,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2018,30345906,Median,clinical,Schmid P et al,2019,31786121
NCT02685059,Loibl S et al,2019,31095287,,Clinical,Loibl S et al,2019,31095287
