NCT,Author,Year_x,PMID_x,Primary endpoint,endpoint_type,Authors,Year_y,PMID_y
NCT01721772,Robert C et al,2020,32997575,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2015,25399552
NCT01721772,Robert C et al,2020,32997575,OS,"Without the text, I cannot answer the question. Please provide the text.",Ascierto PA et al,2019,30422243
NCT01721772,Robert C et al,2020,32997575,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2020,32997575
NCT00094653,McDermott D et al (1),2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al,2013,23942774
NCT00094653,McDermott D et al (1),2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al (1),2013,23942774
NCT00094653,McDermott D et al,2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al,2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al,2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al,2013,23942774
NCT00094653,McDermott D et al,2013,23942774,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al (1),2013,23942774
NCT01721772,Ascierto PA et al,2019,30422243,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2015,25399552
NCT01721772,Ascierto PA et al,2019,30422243,OS,"Without the text, I cannot answer the question. Please provide the text.",Ascierto PA et al,2019,30422243
NCT01721772,Ascierto PA et al,2019,30422243,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2020,32997575
NCT01721772,Robert C et al,2015,25399552,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2015,25399552
NCT01721772,Robert C et al,2015,25399552,OS,"Without the text, I cannot answer the question. Please provide the text.",Ascierto PA et al,2019,30422243
NCT01721772,Robert C et al,2015,25399552,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2020,32997575
NCT00257205,Ribas A et al,2013,23295794,OS,"Without the text, I cannot answer the question. Please provide the text.",Ribas A et al,2013,23295794
NCT00094653,Hodi FS et al (1),2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al,2010,20525992
