NCT,Author,Year_x,PMID_x,Control arm,control_arm_class,Authors,Year_y,PMID_y
NCT03088540,Sezer A et al,2021,33581821,Chemo,Active,Sezer A et al,2021,33581821
NCT02481830,Spigel DR et al,2021,33539946,Chemo,Active,Spigel DR et al,2021,33539946
NCT03215706,Paz-Ares L et al,2021,33476593,Chemo,Active,Paz-Ares L et al,2021,33476593
NCT02008227,Mazieres J et al,2020,33166718,Chemo,Active,Rittmeyer A et al,2017,27979383
NCT02008227,Mazieres J et al,2020,33166718,Chemo,Active,Fehrenbacher L et al,2018,29777823
NCT02008227,Mazieres J et al,2020,33166718,Chemo,Active,Mazieres J et al,2020,33166718
NCT03043872,Goldman JW et al (1),2020,33285097,Chemo,Active,Paz-Ares L et al,2019,31590988
NCT03043872,Goldman JW et al (1),2020,33285097,Chemo,Active,Paz-Ares L et al (1),2019,31590988
NCT03043872,Goldman JW et al (1),2020,33285097,Chemo,Active,Goldman JW et al,2020,33285097
NCT03043872,Goldman JW et al (1),2020,33285097,Chemo,Active,Goldman JW et al (1),2020,33285097
NCT03043872,Goldman JW et al,2020,33285097,Chemo,Active,Paz-Ares L et al,2019,31590988
NCT03043872,Goldman JW et al,2020,33285097,Chemo,Active,Paz-Ares L et al (1),2019,31590988
NCT03043872,Goldman JW et al,2020,33285097,Chemo,Active,Goldman JW et al,2020,33285097
NCT03043872,Goldman JW et al,2020,33285097,Chemo,Active,Goldman JW et al (1),2020,33285097
NCT02409342,Herbst RS et al.,2020,32997907,Chemo,Active,Herbst RS et al.,2020,32997907
NCT02142738,Reck M et al,2016,27718847,Chemo,Active,Reck M et al,2019,30620668
NCT02142738,Reck M et al,2016,27718847,Chemo,Active,Reck M et al,2016,27718847
NCT02367794,Jotte R et al (1),2020,32302702,Chemo,Active,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,Chemo,Active,Jotte R et al (1),2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Chemo,Active,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Chemo,Active,Jotte R et al (1),2020,32302702
NCT02453282,Rizvi NA et al (1),2020,32271377,Chemo,Active,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al (1),2020,32271377,Chemo,Active,Rizvi NA et al (1),2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Chemo,Active,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Chemo,Active,Rizvi NA et al (1),2020,32271377
NCT03066778,Rudin CM et al,2020,32468956,Chemo,Active,Rudin CM et al,2020,32468956
NCT02763579,Mansfield AS et al,2020,31959349,Chemo,Active,Horn L et al,2018,30280641
NCT02763579,Mansfield AS et al,2020,31959349,Chemo,Active,Mansfield AS et al,2020,31959349
NCT03043872,Paz-Ares L et al (1),2019,31590988,Chemo,Active,Paz-Ares L et al,2019,31590988
NCT03043872,Paz-Ares L et al (1),2019,31590988,Chemo,Active,Paz-Ares L et al (1),2019,31590988
NCT03043872,Paz-Ares L et al (1),2019,31590988,Chemo,Active,Goldman JW et al,2020,33285097
NCT03043872,Paz-Ares L et al (1),2019,31590988,Chemo,Active,Goldman JW et al (1),2020,33285097
