NCT,Author,Year_x,PMID_x,Control arm,control_arm_class,Authors,Year_y,PMID_y
NCT01668784,Motzer RJ et al,2020,32673417,mTOR inhibitor,Active,Motzer RJ et al,2015,26406148
NCT01668784,Motzer RJ et al,2020,32673417,mTOR inhibitor,Active,Motzer RJ et al,2020,32673417
NCT01668784,Motzer RJ et al,2015,26406148,mTOR inhibitor,Active,Motzer RJ et al,2015,26406148
NCT01668784,Motzer RJ et al,2015,26406148,mTOR inhibitor,Active,Motzer RJ et al,2020,32673417
NCT03141177,Choueiri TK et al,2021,33657295,TKI,Active,Choueiri TK et al,2021,33657295
NCT02811861,Motzer R et al,2021,33616314,TKI,Active,Motzer R et al,2021,33616314
NCT02853331,Powles T et al. ,2020,33284113,TKI,Active,Rini BI et al,2019,30779529
NCT02853331,Powles T et al. ,2020,33284113,TKI,Active,Powles T et al. ,2020,33284113
NCT02684006,Choueiri TK et al,2020,32339648,TKI,Active,Motzer RJ et al,2019,30779531
NCT02684006,Choueiri TK et al,2020,32339648,TKI,Active,Choueiri TK et al,2020,32339648
NCT02231749,Motzer RJ et al,2020,32661118,TKI,Active,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2020,32661118,TKI,Active,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2020,32661118,TKI,Active,Motzer RJ et al,2020,32661118
NCT02420821,Rini BI et al,2019,31079938,TKI,Active,Rini BI et al,2019,31079938
NCT02853331,Rini BI et al,2019,30779529,TKI,Active,Rini BI et al,2019,30779529
NCT02853331,Rini BI et al,2019,30779529,TKI,Active,Powles T et al. ,2020,33284113
NCT02684006,Motzer RJ et al,2019,30779531,TKI,Active,Motzer RJ et al,2019,30779531
NCT02684006,Motzer RJ et al,2019,30779531,TKI,Active,Choueiri TK et al,2020,32339648
NCT02231749,Motzer RJ et al,2019,31427204,TKI,Active,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2019,31427204,TKI,Active,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2019,31427204,TKI,Active,Motzer RJ et al,2020,32661118
NCT02231749,Motzer RJ et al,2018,29562145,TKI,Active,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2018,29562145,TKI,Active,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2018,29562145,TKI,Active,Motzer RJ et al,2020,32661118
