NCT,Author,Year_x,PMID_x,Primary endpoint,endpoint_type,Authors,Year_y,PMID_y
NCT02819518,Cortes J et al,2020,33278935,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Cortes J et al,2020,33278935
NCT02425891,Schmid P et al,2019,31786121,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2019,31786121,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Schmid P et al,2019,31786121
NCT02425891,Schmid P et al,2018,30345906,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2018,30345906,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Schmid P et al,2019,31786121
NCT01042379,Nanda R et al,2019,32053137,Path CR,SECONDARY,Nanda R et al,2019,32053137
NCT02685059,Loibl S et al,2019,31095287,Path CR,SECONDARY,Loibl S et al,2019,31095287
NCT03036488,Schmid P et al,2020,32101663,Path CR+EFS,SECONDARY,Schmid P et al,2020,32101663
NCT02299999,Bachelot T et al,2021,33462450,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Bachelot T et al,2021,33462450
NCT02924883,Emens LA et al,2020,33002436,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Emens LA et al,2020,33002436
NCT03051659,Tolaney SM et al,2020,32880602,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Tolaney SM et al,2020,32880602
NCT03197935,Mittendorf EA et al,2020,32966830,Path CR in ITT+Path CR in PD-L1+,SECONDARY,Mittendorf EA et al,2020,32966830
NCT02555657,Winer PE et al,2021,33676601,OS,"Without the text, I cannot answer the question. Please provide the text.",Winer PE et al,2021,33676601
