NCT,Author,Year_x,PMID_x,Control arm,control_arm_class,Authors,Year_y,PMID_y
NCT02516241,Powles T et al (1),2020,32971005,Chemo,Active,Powles T et al,2020,32971005
NCT02516241,Powles T et al (1),2020,32971005,Chemo,Active,Powles T et al (1),2020,32971005
NCT02516241,Powles T et al,2020,32971005,Chemo,Active,Powles T et al,2020,32971005
NCT02516241,Powles T et al,2020,32971005,Chemo,Active,Powles T et al (1),2020,32971005
NCT02807636,Galsky MD et al (1),2020,32416780,Chemo,Active,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al (1),2020,32416780,Chemo,Active,Galsky MD et al (1),2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Chemo,Active,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Chemo,Active,Galsky MD et al (1),2020,32416780
NCT02603432,Powles T et al,2020,32945632,Best supportive care,Best supportive care,Powles T et al,2020,32945632
NCT02450331,Bellmunt J et al,2021,33721560,Observation,Placebo,Bellmunt J et al,2021,33721560
