NCT,Author,Year_x,PMID_x,Name of ICI,ICI Class,Authors,Year_y,PMID_y
NCT01585987,Bang YJ et al,2017,28655793,Ipilimumab,CTLA-4,Bang YJ et al,2017,28655793
NCT02569242,Kato K et al,2019,31582355,Nivolumab,PD-1,Kato K et al,2019,31582355
NCT02267343,Chen LT et al,2019,31863227,Nivolumab,PD-1,Kang YK et al,2017,28993052
NCT02267343,Chen LT et al,2019,31863227,Nivolumab,PD-1,Chen LT et al,2019,31863227
NCT02267343,Kang YK et al,2017,28993052,Nivolumab,PD-1,Kang YK et al,2017,28993052
NCT02267343,Kang YK et al,2017,28993052,Nivolumab,PD-1,Chen LT et al,2019,31863227
NCT02625610,Moehler M et al,2020,33197226,Avelumab,PD-L1,Moehler M et al,2020,33197226
NCT02625623,Bang YJ et al,2018,30052729,Avelumab,PD-L1,Bang YJ et al,2018,30052729
NCT02564263,Kojima T et al.,2020,33026938,Pembrolizumab,PD-1,Kojima T et al.,2020,33026938
NCT02494583,Shitara K et al (1),2020,32880601,Pembrolizumab,PD-1,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al (1),2020,32880601,Pembrolizumab,PD-1,Shitara K et al (1),2020,32880601
NCT02494583,Shitara K et al,2020,32880601,Pembrolizumab,PD-1,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al,2020,32880601,Pembrolizumab,PD-1,Shitara K et al (1),2020,32880601
NCT02370498,Shitara K et al,2018,29880231,Pembrolizumab,PD-1,Shitara K et al,2018,29880231
