NCT,Author,Year_x,PMID_x,Type of combination,combination_type_normalized,Authors,Year_y,PMID_y
NCT02494583,Shitara K et al,2020,32880601,,OTHER,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al,2020,32880601,,OTHER,Shitara K et al (1),2020,32880601
NCT02267343,Chen LT et al,2019,31863227,,OTHER,Kang YK et al,2017,28993052
NCT02267343,Chen LT et al,2019,31863227,,OTHER,Chen LT et al,2019,31863227
NCT02370498,Shitara K et al,2018,29880231,,OTHER,Shitara K et al,2018,29880231
NCT02625623,Bang YJ et al,2018,30052729,,OTHER,Bang YJ et al,2018,30052729
NCT02267343,Kang YK et al,2017,28993052,,OTHER,Kang YK et al,2017,28993052
NCT02267343,Kang YK et al,2017,28993052,,OTHER,Chen LT et al,2019,31863227
NCT01585987,Bang YJ et al,2017,28655793,,OTHER,Bang YJ et al,2017,28655793
NCT02625610,Moehler M et al,2020,33197226,ICI+Chemo,ICI+Chemo,Moehler M et al,2020,33197226
NCT02494583,Shitara K et al (1),2020,32880601,ICI+Chemo,ICI+Chemo,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al (1),2020,32880601,ICI+Chemo,ICI+Chemo,Shitara K et al (1),2020,32880601
