NCT,Author,Year_x,PMID_x,Type of follow-up given,followup_type,Authors,Year_y,PMID_y
NCT01585987,Bang YJ et al,2017,28655793,,clinical,Bang YJ et al,2017,28655793
NCT02564263,Kojima T et al.,2020,33026938,Median,clinical,Kojima T et al.,2020,33026938
NCT02625610,Moehler M et al,2020,33197226,Median,clinical,Moehler M et al,2020,33197226
NCT02494583,Shitara K et al (1),2020,32880601,Median,clinical,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al (1),2020,32880601,Median,clinical,Shitara K et al (1),2020,32880601
NCT02494583,Shitara K et al,2020,32880601,Median,clinical,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al,2020,32880601,Median,clinical,Shitara K et al (1),2020,32880601
NCT02569242,Kato K et al,2019,31582355,Median,clinical,Kato K et al,2019,31582355
NCT02267343,Chen LT et al,2019,31863227,Median,clinical,Kang YK et al,2017,28993052
NCT02267343,Chen LT et al,2019,31863227,Median,clinical,Chen LT et al,2019,31863227
NCT02370498,Shitara K et al,2018,29880231,Median,clinical,Shitara K et al,2018,29880231
NCT02625623,Bang YJ et al,2018,30052729,Median,clinical,Bang YJ et al,2018,30052729
NCT02267343,Kang YK et al,2017,28993052,Median,clinical,Kang YK et al,2017,28993052
NCT02267343,Kang YK et al,2017,28993052,Median,clinical,Chen LT et al,2019,31863227
