NCT,Author,Year_x,PMID_x,Primary endpoint,primary_endpoint_standardized,Authors,Year_y,PMID_y
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,Other,Ribas A et al,2015,26115796
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,Other,Ribas A et al (1),2015,26115796
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,Other,Hamid O et al,2017,28961465
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,Other,Hamid O et al (1),2017,28961465
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,Other,Ribas A et al,2015,26115796
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,Other,Ribas A et al (1),2015,26115796
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,Other,Hamid O et al,2017,28961465
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,Other,Hamid O et al (1),2017,28961465
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,Other,Ribas A et al,2015,26115796
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,Other,Ribas A et al (1),2015,26115796
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,Other,Hamid O et al,2017,28961465
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,Other,Hamid O et al (1),2017,28961465
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,Other,Ribas A et al,2015,26115796
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,Other,Ribas A et al (1),2015,26115796
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,Other,Hamid O et al,2017,28961465
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,Other,Hamid O et al (1),2017,28961465
NCT02130466,Ferrucci PF et al,2020,33361337,PFS,PFS,Ascierto PA et al,2019,31171878
NCT02130466,Ferrucci PF et al,2020,33361337,PFS,PFS,Ferrucci PF et al,2020,33361337
NCT02130466,Ascierto PA et al,2019,31171878,PFS,PFS,Ascierto PA et al,2019,31171878
NCT02130466,Ascierto PA et al,2019,31171878,PFS,PFS,Ferrucci PF et al,2020,33361337
NCT02523313,Zimmer L et al (1),2020,32416781,RFS,DFS,Zimmer L et al,2020,32416781
NCT02523313,Zimmer L et al (1),2020,32416781,RFS,DFS,Zimmer L et al (1),2020,32416781
NCT02523313,Zimmer L et al,2020,32416781,RFS,DFS,Zimmer L et al,2020,32416781
NCT02523313,Zimmer L et al,2020,32416781,RFS,DFS,Zimmer L et al (1),2020,32416781
