NCT,Author,Year_x,PMID_x,Type of combination,combination_type_normalized,Authors,Year_y,PMID_y
NCT00324155,Robert C et al,2011,21639810,ICI+Chemo,ICI+Chemo,Robert C et al,2011,21639810
NCT00094653,McDermott D et al (1),2013,23942774,ICI+Vaccine,OTHER,Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,ICI+Vaccine,OTHER,Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,ICI+Vaccine,OTHER,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al (1),2013,23942774,ICI+Vaccine,OTHER,McDermott D et al (1),2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,ICI+Vaccine,OTHER,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,ICI+Vaccine,OTHER,Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,ICI+Vaccine,OTHER,McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,ICI+Vaccine,OTHER,McDermott D et al (1),2013,23942774
NCT02130466,Ferrucci PF et al,2020,33361337,ICI+BRAFi+MEKi,ICI+TKI,Ascierto PA et al,2019,31171878
NCT02130466,Ferrucci PF et al,2020,33361337,ICI+BRAFi+MEKi,ICI+TKI,Ferrucci PF et al,2020,33361337
NCT02908672,Gutzmer R et al,2020,32534646,ICI+BRAFi+MEKi,ICI+TKI,Gutzmer R et al,2020,32534646
NCT02130466,Ascierto PA et al,2019,31171878,ICI+BRAFi+MEKi,ICI+TKI,Ascierto PA et al,2019,31171878
NCT02130466,Ascierto PA et al,2019,31171878,ICI+BRAFi+MEKi,ICI+TKI,Ferrucci PF et al,2020,33361337
NCT02523313,Zimmer L et al (1),2020,32416781,ICI+ICI,ICI+ICI,Zimmer L et al,2020,32416781
NCT02523313,Zimmer L et al (1),2020,32416781,ICI+ICI,ICI+ICI,Zimmer L et al (1),2020,32416781
