NCT,Author,Year_x,PMID_x,Name of ICI,ICI Brand Name,Authors,Year_y,PMID_y
NCT02008227,Mazieres J et al,2020,33166718,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Rittmeyer A et al,2017,27979383
NCT02008227,Mazieres J et al,2020,33166718,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Fehrenbacher L et al,2018,29777823
NCT02008227,Mazieres J et al,2020,33166718,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mazieres J et al,2020,33166718
NCT01903993,Mazieres J et al,2020,33166718,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Fehrenbacher L et al,2016,26970723
NCT01903993,Mazieres J et al,2020,33166718,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mazieres J et al,2020,33166718
NCT02409342,Herbst RS et al.,2020,32997907,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Herbst RS et al.,2020,32997907
NCT02367794,Jotte R et al (1),2020,32302702,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Jotte R et al (1),2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Jotte R et al (1),2020,32302702
NCT02763579,Mansfield AS et al,2020,31959349,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Horn L et al,2018,30280641
NCT02763579,Mansfield AS et al,2020,31959349,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mansfield AS et al,2020,31959349
NCT02367781,West H et al,2019,31122901,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,West H et al,2019,31122901
