NCT,Author,Year_x,PMID_x,Control arm,control_arm_type,Authors,Year_y,PMID_y
NCT02267343,Chen LT et al,2019,31863227,Placebo,Placebo,Kang YK et al,2017,28993052
NCT02267343,Chen LT et al,2019,31863227,Placebo,Placebo,Chen LT et al,2019,31863227
NCT02267343,Kang YK et al,2017,28993052,Placebo,Placebo,Kang YK et al,2017,28993052
NCT02267343,Kang YK et al,2017,28993052,Placebo,Placebo,Chen LT et al,2019,31863227
NCT02625623,Bang YJ et al,2018,30052729,Best supportive care,Best supportive care,Bang YJ et al,2018,30052729
NCT02625610,Moehler M et al,2020,33197226,Chemo,Active,Moehler M et al,2020,33197226
NCT02494583,Shitara K et al (1),2020,32880601,Chemo,Active,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al (1),2020,32880601,Chemo,Active,Shitara K et al (1),2020,32880601
NCT02494583,Shitara K et al,2020,32880601,Chemo,Active,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al,2020,32880601,Chemo,Active,Shitara K et al (1),2020,32880601
NCT02370498,Shitara K et al,2018,29880231,Chemo,Active,Shitara K et al,2018,29880231
