NCT,Author,Year_x,PMID_x,Secondary endpoint,irAEs_assessed,Authors,Year_y,PMID_y
NCT01668784,Motzer RJ et al,2020,32673417,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",NO,Motzer RJ et al,2015,26406148
NCT01668784,Motzer RJ et al,2020,32673417,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",NO,Motzer RJ et al,2020,32673417
NCT01668784,Motzer RJ et al,2015,26406148,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",NO,Motzer RJ et al,2015,26406148
NCT01668784,Motzer RJ et al,2015,26406148,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",NO,Motzer RJ et al,2020,32673417
NCT01984242,McDermott DF et al (1),2018,29867230,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",NO,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al (1),2018,29867230,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",NO,McDermott DF et al (1),2018,29867230
NCT01984242,McDermott DF et al,2018,29867230,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",NO,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al,2018,29867230,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",NO,McDermott DF et al (1),2018,29867230
NCT02231749,Motzer RJ et al,2018,29562145,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",NO,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2018,29562145,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",NO,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2018,29562145,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",NO,Motzer RJ et al,2020,32661118
NCT02231749,Motzer RJ et al,2019,31427204,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",NO,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2019,31427204,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",NO,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2019,31427204,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",NO,Motzer RJ et al,2020,32661118
NCT02684006,Choueiri TK et al,2020,32339648,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,NO,Motzer RJ et al,2019,30779531
NCT02684006,Choueiri TK et al,2020,32339648,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,NO,Choueiri TK et al,2020,32339648
NCT02684006,Motzer RJ et al,2019,30779531,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,NO,Motzer RJ et al,2019,30779531
NCT02684006,Motzer RJ et al,2019,30779531,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,NO,Choueiri TK et al,2020,32339648
NCT02853331,Rini BI et al,2019,30779529,ORR; duration of response; safety,NO,Rini BI et al,2019,30779529
NCT02853331,Rini BI et al,2019,30779529,ORR; duration of response; safety,NO,Powles T et al. ,2020,33284113
NCT02420821,Rini BI et al,2019,31079938,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety,NO,Rini BI et al,2019,31079938
NCT02231749,Motzer RJ et al,2020,32661118,"ORR, PFS and OS in ITT population; incidence rate of AEs.",NO,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2020,32661118,"ORR, PFS and OS in ITT population; incidence rate of AEs.",NO,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2020,32661118,"ORR, PFS and OS in ITT population; incidence rate of AEs.",NO,Motzer RJ et al,2020,32661118
NCT02853331,Powles T et al. ,2020,33284113,"ORR, DoR, safety, tolerability",NO,Rini BI et al,2019,30779529
NCT02853331,Powles T et al. ,2020,33284113,"ORR, DoR, safety, tolerability",NO,Powles T et al. ,2020,33284113
NCT02811861,Motzer R et al,2021,33616314,OS; ORR; safety; investigator-assessed PFS,NO,Motzer R et al,2021,33616314
NCT03141177,Choueiri TK et al,2021,33657295,OS; ORR; safety,NO,Choueiri TK et al,2021,33657295
