NCT,Author,Year_x,PMID_x,Primary endpoint,endpoint_type,Authors,Year_y,PMID_y
NCT02852083,Heudobler D et al,2021,33796020,PFS,SECONDARY,Heudobler D et al,2021,33796020
NCT02142738,Reck M et al,2016,27718847,PFS,SECONDARY,Reck M et al,2019,30620668
NCT02142738,Reck M et al,2016,27718847,PFS,SECONDARY,Reck M et al,2016,27718847
NCT02142738,Reck M et al,2019,30620668,PFS,SECONDARY,Reck M et al,2019,30620668
NCT02142738,Reck M et al,2019,30620668,PFS,SECONDARY,Reck M et al,2016,27718847
NCT02041533,Carbone DP et al,2017,28636851,PFS,SECONDARY,Carbone DP et al,2017,28636851
NCT01903993,Fehrenbacher L et al,2016,26970723,PFS,SECONDARY,Fehrenbacher L et al,2016,26970723
NCT01903993,Fehrenbacher L et al,2016,26970723,PFS,SECONDARY,Mazieres J et al,2020,33166718
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,SECONDARY,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,SECONDARY,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,SECONDARY,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,SECONDARY,Reck M et al (1),2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,PFS,SECONDARY,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,PFS,SECONDARY,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,PFS,SECONDARY,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,PFS,SECONDARY,Reck M et al (1),2012,22858559
NCT02538666,Owonikoko TK et al,2021,33683919,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Owonikoko TK et al,2021,33683919
NCT02538666,Owonikoko TK et al,2021,33683919,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Owonikoko TK et al,2021,33683919
NCT02454933,Yang JCH et al,2019,30763730,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Yang JCH et al,2019,30763730
NCT00527735,Reck M et al (1),2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Lynch TJ et al,2012,22547592
NCT00527735,Reck M et al (1),2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Lynch TJ et al (1),2012,22547592
NCT00527735,Reck M et al (1),2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Reck M et al,2012,22858559
NCT00527735,Reck M et al (1),2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Reck M et al (1),2012,22858559
NCT00527735,Reck M et al,2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Lynch TJ et al,2012,22547592
NCT00527735,Reck M et al,2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Lynch TJ et al (1),2012,22547592
NCT00527735,Reck M et al,2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Reck M et al,2012,22858559
NCT00527735,Reck M et al,2012,22858559,,"Without any text to analyze, I cannot determine if the endpoint is primary or secondary.",Reck M et al (1),2012,22858559
NCT02538666,Owonikoko TK et al,2021,33683919,OS,PRIMARY,Owonikoko TK et al,2021,33683919
NCT02538666,Owonikoko TK et al,2021,33683919,OS,PRIMARY,Owonikoko TK et al,2021,33683919
NCT02481830,Spigel DR et al,2021,33539946,OS,PRIMARY,Spigel DR et al,2021,33539946
NCT03215706,Paz-Ares L et al,2021,33476593,OS,PRIMARY,Paz-Ares L et al,2021,33476593
NCT02008227,Mazieres J et al,2020,33166718,OS,PRIMARY,Rittmeyer A et al,2017,27979383
NCT02008227,Mazieres J et al,2020,33166718,OS,PRIMARY,Fehrenbacher L et al,2018,29777823
NCT02008227,Mazieres J et al,2020,33166718,OS,PRIMARY,Mazieres J et al,2020,33166718
NCT01903993,Mazieres J et al,2020,33166718,OS,PRIMARY,Fehrenbacher L et al,2016,26970723
NCT01903993,Mazieres J et al,2020,33166718,OS,PRIMARY,Mazieres J et al,2020,33166718
NCT03043872,Goldman JW et al (1),2020,33285097,OS,PRIMARY,Paz-Ares L et al,2019,31590988
NCT03043872,Goldman JW et al (1),2020,33285097,OS,PRIMARY,Paz-Ares L et al (1),2019,31590988
NCT03043872,Goldman JW et al (1),2020,33285097,OS,PRIMARY,Goldman JW et al,2020,33285097
NCT03043872,Goldman JW et al (1),2020,33285097,OS,PRIMARY,Goldman JW et al (1),2020,33285097
NCT03043872,Goldman JW et al,2020,33285097,OS,PRIMARY,Paz-Ares L et al,2019,31590988
NCT03043872,Goldman JW et al,2020,33285097,OS,PRIMARY,Paz-Ares L et al (1),2019,31590988
NCT03043872,Goldman JW et al,2020,33285097,OS,PRIMARY,Goldman JW et al,2020,33285097
NCT03043872,Goldman JW et al,2020,33285097,OS,PRIMARY,Goldman JW et al (1),2020,33285097
NCT02409342,Herbst RS et al.,2020,32997907,OS,PRIMARY,Herbst RS et al.,2020,32997907
NCT03043872,Paz-Ares L et al (1),2019,31590988,OS,PRIMARY,Paz-Ares L et al,2019,31590988
NCT03043872,Paz-Ares L et al (1),2019,31590988,OS,PRIMARY,Paz-Ares L et al (1),2019,31590988
NCT03043872,Paz-Ares L et al (1),2019,31590988,OS,PRIMARY,Goldman JW et al,2020,33285097
NCT03043872,Paz-Ares L et al (1),2019,31590988,OS,PRIMARY,Goldman JW et al (1),2020,33285097
NCT03043872,Paz-Ares L et al,2019,31590988,OS,PRIMARY,Paz-Ares L et al,2019,31590988
NCT03043872,Paz-Ares L et al,2019,31590988,OS,PRIMARY,Paz-Ares L et al (1),2019,31590988
NCT03043872,Paz-Ares L et al,2019,31590988,OS,PRIMARY,Goldman JW et al,2020,33285097
NCT03043872,Paz-Ares L et al,2019,31590988,OS,PRIMARY,Goldman JW et al (1),2020,33285097
NCT02613507,Wu YL et al,2019,30659987,OS,PRIMARY,Wu YL et al,2019,30659987
NCT02220894,Mok TSK et al,2019,30955977,OS,PRIMARY,Mok TSK et al,2019,30955977
NCT02477826,Hellmann MD et al (2),2019,31562796,OS,PRIMARY,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,OS,PRIMARY,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,OS,PRIMARY,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,OS,PRIMARY,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,OS,PRIMARY,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,OS,PRIMARY,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,OS,PRIMARY,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,OS,PRIMARY,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,OS,PRIMARY,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,OS,PRIMARY,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,OS,PRIMARY,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,OS,PRIMARY,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,OS,PRIMARY,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,OS,PRIMARY,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,OS,PRIMARY,Hellmann MD et al (2),2019,31562796
NCT02008227,Fehrenbacher L et al,2018,29777823,OS,PRIMARY,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823,OS,PRIMARY,Fehrenbacher L et al,2018,29777823
