NCT,Author,Year_x,PMID_x,Trial phase,trial_phase_bucket,Authors,Year_y,PMID_y
NCT02450331,Bellmunt J et al,2021,33721560,Phase 3,late,Bellmunt J et al,2021,33721560
NCT02008227,Mazieres J et al,2020,33166718,Phase 3,late,Rittmeyer A et al,2017,27979383
NCT02008227,Mazieres J et al,2020,33166718,Phase 3,late,Fehrenbacher L et al,2018,29777823
NCT02008227,Mazieres J et al,2020,33166718,Phase 3,late,Mazieres J et al,2020,33166718
NCT02657434,Nishio M et al,2020,33333328,Phase 3,late,Nishio M et al,2020,33333328
NCT02409342,Herbst RS et al.,2020,32997907,Phase 3,late,Herbst RS et al.,2020,32997907
NCT03197935,Mittendorf EA et al,2020,32966830,Phase 3,late,Mittendorf EA et al,2020,32966830
NCT03434379,Finn RS et al,2020,32402160,Phase 3,late,Finn RS et al,2020,32402160
NCT02807636,Galsky MD et al (1),2020,32416780,Phase 3,late,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al (1),2020,32416780,Phase 3,late,Galsky MD et al (1),2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Phase 3,late,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Phase 3,late,Galsky MD et al (1),2020,32416780
NCT02908672,Gutzmer R et al,2020,32534646,Phase 3,late,Gutzmer R et al,2020,32534646
NCT02367794,Jotte R et al (1),2020,32302702,Phase 3,late,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,Phase 3,late,Jotte R et al (1),2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Phase 3,late,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Phase 3,late,Jotte R et al (1),2020,32302702
NCT02763579,Mansfield AS et al,2020,31959349,Phase 3,late,Horn L et al,2018,30280641
NCT02763579,Mansfield AS et al,2020,31959349,Phase 3,late,Mansfield AS et al,2020,31959349
NCT02425891,Schmid P et al,2019,31786121,Phase 3,late,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2019,31786121,Phase 3,late,Schmid P et al,2019,31786121
NCT02367781,West H et al,2019,31122901,Phase 3,late,West H et al,2019,31122901
NCT02366143,Socinski MA et al (1),2018,29863955,Phase 3,late,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,Phase 3,late,Socinski MA et al (1),2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Phase 3,late,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Phase 3,late,Socinski MA et al (1),2018,29863955
NCT02763579,Horn L et al,2018,30280641,Phase 3,late,Horn L et al,2018,30280641
NCT02763579,Horn L et al,2018,30280641,Phase 3,late,Mansfield AS et al,2020,31959349
NCT02008227,Fehrenbacher L et al,2018,29777823,Phase 3,late,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823,Phase 3,late,Fehrenbacher L et al,2018,29777823
NCT02008227,Fehrenbacher L et al,2018,29777823,Phase 3,late,Mazieres J et al,2020,33166718
NCT02008227,Rittmeyer A et al,2017,27979383,Phase 3,late,Rittmeyer A et al,2017,27979383
NCT02008227,Rittmeyer A et al,2017,27979383,Phase 3,late,Fehrenbacher L et al,2018,29777823
NCT02008227,Rittmeyer A et al,2017,27979383,Phase 3,late,Mazieres J et al,2020,33166718
NCT02395172,Barlesi F et al,2018,30262187,Phase 3,late,Barlesi F et al,2018,30262187
NCT02420821,Rini BI et al,2019,31079938,Phase 3,late,Rini BI et al,2019,31079938
NCT02788279,Eng C et al (1),2019,31003911,Phase 3,late,Eng C et al,2019,31003911
NCT02788279,Eng C et al (1),2019,31003911,Phase 3,late,Eng C et al (1),2019,31003911
NCT02788279,Eng C et al,2019,31003911,Phase 3,late,Eng C et al,2019,31003911
NCT02788279,Eng C et al,2019,31003911,Phase 3,late,Eng C et al (1),2019,31003911
NCT02425891,Schmid P et al,2018,30345906,Phase 3,late,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2018,30345906,Phase 3,late,Schmid P et al,2019,31786121
NCT02302807,Powles T et al,2018,29268948,Phase 3,late,Powles T et al,2018,29268948
NCT01903993,Mazieres J et al,2020,33166718,Phase 2,early,Fehrenbacher L et al,2016,26970723
NCT01903993,Mazieres J et al,2020,33166718,Phase 2,early,Mazieres J et al,2020,33166718
NCT03059667,Pujol JL et al,2019,30664989,Phase 2,early,Pujol JL et al,2019,30664989
NCT01903993,Fehrenbacher L et al,2016,26970723,Phase 2,early,Fehrenbacher L et al,2016,26970723
NCT01903993,Fehrenbacher L et al,2016,26970723,Phase 2,early,Mazieres J et al,2020,33166718
NCT01984242,McDermott DF et al (1),2018,29867230,Phase 2,early,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al (1),2018,29867230,Phase 2,early,McDermott DF et al (1),2018,29867230
NCT01984242,McDermott DF et al,2018,29867230,Phase 2,early,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al,2018,29867230,Phase 2,early,McDermott DF et al (1),2018,29867230
