NCT,Author,Year_x,PMID_x,Trial name,Biomarker Name,Authors,Year_y,PMID_y
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,NONE,Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,NONE,Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,NONE,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,NONE,McDermott D et al (1),2013,23942774
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,NONE,Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,NONE,Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,NONE,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,NONE,McDermott D et al (1),2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,NONE,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,NONE,Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,NONE,McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,NONE,McDermott D et al (1),2013,23942774
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,NONE,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,NONE,Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,NONE,McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,NONE,McDermott D et al (1),2013,23942774
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022,NONE,Ascierto PA et al,2019,31171878
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022,NONE,Ferrucci PF et al,2020,33361337
NCT02130466,Ascierto PA et al,2019,31171878,KEYNOTE-022,NONE,Ascierto PA et al,2019,31171878
NCT02130466,Ascierto PA et al,2019,31171878,KEYNOTE-022,NONE,Ferrucci PF et al,2020,33361337
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,NONE,Robert C et al,2015,25399552
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,NONE,Ascierto PA et al,2019,30422243
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,NONE,Robert C et al,2020,32997575
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066,NONE,Robert C et al,2015,25399552
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066,NONE,Ascierto PA et al,2019,30422243
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066,NONE,Robert C et al,2020,32997575
NCT01721772,Robert C et al,2015,25399552,CheckMate 066,NONE,Robert C et al,2015,25399552
NCT01721772,Robert C et al,2015,25399552,CheckMate 066,NONE,Ascierto PA et al,2019,30422243
NCT01721772,Robert C et al,2015,25399552,CheckMate 066,NONE,Robert C et al,2020,32997575
NCT02908672,Gutzmer R et al,2020,32534646,IMspire150,NONE,Gutzmer R et al,2020,32534646
