NCT,Author,Year_x,PMID_x,Type of follow-up given,followup_type,Authors,Year_y,PMID_y
NCT02952586,Lee NY et al,2021,33794205,Median,clinical,Lee NY et al,2021,33794205
NCT02369874,Ferris RL et al (1),2020,32294530,Median,clinical,Ferris RL et al,2020,32294530
NCT02369874,Ferris RL et al (1),2020,32294530,Median,clinical,Ferris RL et al (1),2020,32294530
NCT02369874,Ferris RL et al,2020,32294530,Median,clinical,Ferris RL et al,2020,32294530
NCT02369874,Ferris RL et al,2020,32294530,Median,clinical,Ferris RL et al (1),2020,32294530
NCT02017717,Reardon DA et al,2020,32437507,Median,clinical,Reardon DA et al,2020,32437507
NCT02358031,Burtness B et al (1),2019,31679945,Median,clinical,Burtness B et al,2019,31679945
NCT02358031,Burtness B et al (1),2019,31679945,Median,clinical,Burtness B et al (1),2019,31679945
NCT02358031,Burtness B et al,2019,31679945,Median,clinical,Burtness B et al,2019,31679945
NCT02358031,Burtness B et al,2019,31679945,Median,clinical,Burtness B et al (1),2019,31679945
NCT02105636,Ferris RL et al,2016,27718784,Median,clinical,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2016,27718784,Median,clinical,Ferris RL et al,2018,29884413
NCT02252042,Cohen EEW et al,2018,30509740,Median,clinical,Cohen EEW et al,2018,30509740
NCT02105636,Ferris RL et al,2018,29884413,Minimum,clinical,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2018,29884413,Minimum,clinical,Ferris RL et al,2018,29884413
NCT02999087,Tao Y et al.,2021,33125944,,clinical,Tao Y et al.,2021,33125944
